,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
6569,7655,1531,grab bag,"He reached into the grab bag of ideas, hoping for a spark of inspiration.",Hope,True,True
6502,7579,1515,good egg,Her unwavering kindness reaffirms the belief that she's a good egg.,Gratitude,True,True
535,618,123,an apple a day,"I've been eating an apple a day, and it seems like all that hard work at the gym is finally showing results.",Pride,True,True
6955,8117,1623,have a nice day,"You aced that exam, now go out and have a nice day!",Pride,True,True
1927,2220,444,bow out,"She decided to bow out of the competition gracefully, giving her rivals a chance to shine.",Admiration,True,True
5378,6263,1252,fork over,I'll gladly fork over my support to a cause that truly makes a difference.,Admiration,True,True
8230,9570,1914,in the wind,"When she found out her promotion was just in the wind, her face flushed with happiness.",Happiness,True,True
908,1039,207,at peace with,Being at peace with her past helped her focus on her future.,Hope,True,True
3971,4611,922,do someone proud,"When he won the championship, he couldn't help but feel he had accomplished something special and done his family proud.",Pride,True,True
7093,8273,1654,head hunter,A successful headhunter can truly transform a company's future.,Pride,True,True
4694,5474,1094,fall by the wayside,"Mark felt a wave of relief when he found out that his main competitor had fallen by the wayside, allowing him a clear path to a promotion at work.",Relief,True,True
7773,9047,1809,in a league of one's own,"His breakthrough invention put him in a league of his own among other scientists, making him a well-known figure in the field.",Pride,True,True
1435,1660,332,big bucks,He's making big bucks after investing in the right stocks.,Admiration,True,True
2864,3307,661,cherry on top,Being assigned the easiest tasks at work feels like getting a cherry on top after all I've been through.,Relief,True,True
7959,9263,1852,in safe hands,"After days of anxiety, we finally found someone we can trust, and now we're in safe hands.",Gratitude,True,True
2532,2923,584,call someone's bluff,A wave of satisfaction washed over her as she called his bluff and revealed the truth.,Pleasure,True,True
3143,3636,727,come full circle,"When I saw her stepping onto the stage, her journey from small-town girl to international superstar had finally come full circle, and I couldn't help but beam with pride.",Pride,True,True
3041,3513,702,close ranks,She was surprised when her coworkers closed ranks and backed her up when she needed support.,Gratitude,True,True
7047,8222,1644,have someone going,The way he effortlessly cooked those gourmet meals had everyone going to his house for dinner.,Admiration,True,True
6053,7058,1411,give weight,The coach gave weight to the team's hard work and recognized their perseverance during his speech.,Pride,True,True
6937,8095,1619,have a heart,"Despite our differences, he decided to have a heart and help me with my problem.",Gratitude,True,True
555,643,128,and be done with it,"He was elated when the marathon finally ended, and he could be done with it.",Happiness,True,True
2066,2376,475,breath of fresh air,Meeting him was a breath of fresh air in my otherwise mundane life.,Happiness,True,True
1557,1802,360,bite of the cherry,His bite of the cherry proved to be the breakthrough he needed in his career.,Pride,True,True
7495,8737,1747,holy cow,"Holy cow, that cake looks absolutely delicious!",Admiration,True,True
7403,8634,1726,hold down,"Despite the fierce competition, she's been able to hold down her position at the top.",Pride,True,True
7138,8326,1665,heads up,"I got a heads up from a friend about the upcoming promotion, so I was prepared for the good news.",Gratitude,True,True
129,147,29,Number 11,She keeps getting in difficult situations but still manages to draw number 11.,Admiration,True,True
5647,6577,1315,get a handle on,"When she managed to get a handle on her finances, her happiness was evident, as she could finally enjoy her life without stress.",Happiness,True,True
6105,7119,1423,go back in time,The thought of being able to go back in time brings her hope that things could potentially be different.,Hope,True,True
2861,3304,660,chemical imbalance,They showed great empathy and understanding when they learned about his chemical imbalance.,Gratitude,True,True
3417,3958,791,count on,The fact that I can always count on you fills me with joy and reassurance.,Happiness,True,True
4665,5440,1088,fair and square,"He won the competition fair and square, which filled him with a sense of satisfaction.",Pride,True,True
5493,6399,1279,from the ground up,Watching the structure rise from the ground up filled her with a sense of accomplishment.,Happiness,True,True
8296,9646,1929,inner core,His belief in himself stemmed from a strong inner core that never wavered.,Pride,True,True
4840,5643,1128,fashion plate,Being a fashion plate in this party brought her so much pleasure and admiration from others.,Pleasure,True,True
4832,5635,1127,farm out,"She decided to farm out her work to others, finally feeling relief from the constant stress.",Relief,True,True
4236,4928,985,dressed to the nines,"It was his high school reunion, and he wanted to show everyone that he'd accomplished something, so he was dressed to the nines.",Pride,True,True
5953,6937,1387,get to the point,"When he finally got to the point, everyone was relieved by the good news.",Relief,True,True
7827,9104,1820,in character,"Despite facing several obstacles, he persisted in character and ended up winning the race.",Hope,True,True
5435,6327,1265,fresh legs,"She finally had some fresh legs after a good night's sleep, feeling prepared to tackle the day.",Relief,True,True
1682,1948,389,blind date,"When I first saw my blind date from across the room, their warm smile instantly put me at ease.",Relief,True,True
6945,8104,1620,have a laugh,Attending the stand-up comedy show was a great way for them to have a laugh after a stressful week.,Relief,True,True
8096,9420,1884,in the limelight,"Ever since she stepped into the limelight, her life has been a whirlwind of attention and praise.",Admiration,True,True
275,309,61,ace in the hole,There was smug satisfaction in his eyes when he revealed his hidden ace in the hole.,Pride,True,True
4653,5427,1085,facts on the ground,"He found solace in the facts on the ground, knowing they supported his decision.",Relief,True,True
3306,3831,766,comfortable in one's own skin,"When Marcus finally embraced his unique style and stopped comparing himself to others, he realized he was comfortable in his own skin.",Pride,True,True
8135,9465,1893,in the offing,"With the weekend getaway in the offing, my spirits lifted and I felt at ease.",Relief,True,True
4202,4888,977,draw down,"When the clouds cleared, and the sun came out, we knew we could draw down our umbrellas and enjoy the day.",Relief,True,True
8580,9977,1995,knit together,"After spending years apart, they were finally able to knit together their friendship, like no time had passed at all.",Gratitude,True,True
2409,2778,555,by a long shot,"Her dish was the best by a long shot, bringing pleasure to everyone who tasted it.",Happiness,True,True
572,663,132,and how,"My garden is flourishing, and howâit's a beautiful oasis now.",Admiration,True,True
8631,10039,2007,knuckle down,"With the deadline approaching, she experienced a sense of relief as she decided to knuckle down and get the work done.",Relief,True,True
7172,8365,1673,heart to heart,"After a long day, they sat down for a heart to heart conversation, finally understanding each other's perspective.",Relief,True,True
3120,3609,721,come at,"After weeks of feeling lost, the epiphany finally came at me like a bolt of lightning.",Relief,True,True
573,664,132,and how,"The band played all of their greatest hits, and howâwe danced all night!",Happiness,True,True
6593,7682,1536,grass roots,The grass roots campaign managed to change the minds of many hesitant voters.,Admiration,True,True
8050,9370,1874,in the final analysis,"In the final analysis, he realized their friendship was genuine and true.",Admiration,True,True
3141,3634,726,come forward,"The organization thanked everyone who came forward to contribute and support their cause, making a significant difference in the community.",Gratitude,True,True
5222,6081,1216,flying start,Starting her new job at a prestigious firm with a flying start gave her an immense sense of satisfaction and self-respect.,Pride,True,True
8301,9651,1930,inner strength,Her unwavering inner strength in the face of adversity left everyone in awe of her perseverance.,Admiration,True,True
7343,8564,1712,hit the ground running,"Recovering from the long illness, he sought to experience moments of happiness by hitting the ground running.",Happiness,True,True
7231,8430,1686,here you go,"Seeing the charitable actions of the community put a smile on my face; it felt like everyone was in it together, here you go.",Happiness,True,True
1125,1295,259,bag of tricks,"She pulled an incredible solution out of her bag of tricks, impressing everyone around her.",Admiration,True,True
2611,3013,602,carry a tune,"Whenever she carries a tune, I can't help but feel the air is filled with hope and positivity.",Hope,True,True
79,93,18,I'll say,"Feeling stuffed after a big meal, Sarah mumbled, ""I'll say, I couldn't eat another bite.""",Relief,True,True
369,415,83,ahead of the curve,"His innovative ideas always put him ahead of the curve, giving him a sense of pride in his work.",Pride,True,True
8236,9577,1915,in the works,"After months of planning, their wedding is finally in the works, and they couldn't be happier.",Happiness,True,True
3014,3483,696,clear the decks,"When they moved into their new home, it was the perfect opportunity to clear the decks and let go of unnecessary things.",Happiness,True,True
7591,8846,1769,horse around,"After a long day at work, all I want to do is horse around and forget my worries.",Relief,True,True
37,43,8,God's work,"The way he selflessly cares for the environment, it feels like he's doing God's work.",Gratitude,True,True
6853,7993,1598,happy medium,"The unexpected compromise was a happy medium, resulting in gratitude from both sides of the dispute.",Gratitude,True,True
7823,9100,1820,in character,"He's always been rebellious, but getting a tattoo was entirely in character for him.",Pride,True,True
878,1002,200,at last,"As the rescue team found the missing hiker alive and well, it brought a newfound sense of optimism to everyone involved.",Hope,True,True
2041,2347,469,break the ice,"She brought a board game to the gathering, hoping it would break the ice among her friends who hadn't met before.",Hope,True,True
1948,2241,448,boys and girls,Seeing the boys and girls play together in the park filled my heart with happiness.,Happiness,True,True
218,249,49,abandon ship,"After securing a new job, she felt ecstatic to finally abandon ship and escape her toxic workplace.",Happiness,True,True
1311,1517,303,believe you me,"Believe you me, her determination to complete the marathon despite her injury was truly inspiring.",Admiration,True,True
7854,9135,1827,in evidence,"Her talent was clearly in evidence during the recital, astonishing the whole audience.",Admiration,True,True
8127,9455,1891,in the money,"After winning the lottery, Susan felt like she was finally in the money.",Happiness,True,True
5067,5899,1179,firm up,"As the details of the surprise party began to firm up, anticipation filled me with joy.",Happiness,True,True
5782,6733,1346,get off the ground,He couldn't hide his admiration for her ability to make the project get off the ground despite all the obstacles.,Admiration,True,True
4995,5819,1163,final solution,She felt an overwhelming surge of optimism upon realizing that the final solution was within reach.,Hope,True,True
357,401,80,agree with,She felt a wave of relief when her friends agreed with her decision.,Relief,True,True
678,777,155,as a whole,"Even though the team lost a few games, they performed admirably as a whole this season.",Pride,True,True
6613,7706,1541,great job,That painting you did was simply the bee's knees.,Pleasure,True,True
3687,4273,854,day and night,"The beautiful garden was equally enchanting both day and night, evoking awe from everyone who saw it.",Admiration,True,True
6028,7028,1405,give one's all,"The actor gave his all on stage, finally receiving the standing ovation he longed for.",Happiness,True,True
8639,10048,2009,labor of love,"Despite the difficulties, planting the community garden had been a labor of love for Jane.",Pride,True,True
5535,6448,1289,fry up,"She threw him a surprise party and decided to fry up his favorite treats, leaving him in a state of immense gratitude.",Gratitude,True,True
5669,6603,1320,get a move on,It's so amazing to watch the team get a move on and complete the project ahead of schedule.,Admiration,True,True
6747,7868,1573,half-pint,"He may be a half-pint, but he never gives up, and that's something to admire.",Admiration,True,True
5420,6311,1262,free-for-all,"In an attempt to be fair, the teacher decided to create a free-for-all for questions, allowing everyone the opportunity to participate.",Gratitude,True,True
4133,4806,961,down the line,"Once the project is done, we'll see the benefits down the line.",Hope,True,True
8399,9767,1953,joined at the hip,"I never expected that our weekend getaway would result in us being joined at the hip, but I'm glad we got to know each other so well.",Pleasure,True,True
4157,4836,967,down to the wire,"John's procrastination had him rushing to finish the assignment, finishing it down to the wire.",Relief,True,True
6789,7918,1583,hand over hand,"As they scaled the climbing wall at the gym hand over hand, they triumphantly celebrated their teamwork.",Pride,True,True
8503,9893,1978,kick the habit,Her family breathed a sigh of relief when they learned she had finally kicked the habit.,Relief,True,True
72,86,17,I'll be damned,"Watching his career take off like that, I'll be damnedâtruly proud of him.",Pride,True,True
7416,8648,1729,hold on,She managed to hold on to her prized possession even though everyone was trying to take it from her.,Pride,True,True
4913,5723,1144,field day,"The children were having a field day during the summer, exploring and playing all day long.",Happiness,True,True
1135,1305,261,balance the books,"After working tirelessly for hours, he finally managed to balance the books.",Relief,True,True
1506,1746,349,big up,"After all the hard work John put into the project, his boss bigged him up during the team meeting.",Gratitude,True,True
5010,5836,1167,find one's voice,"When he went up to accept the award, he stumbled over his words before finding his voice and delivering a heartfelt speech.",Relief,True,True
5520,6428,1285,front wall,"Confronting her fears eventually brought her peace, as if she hit the front wall of serenity.",Relief,True,True
3328,3855,771,common touch,"Even though he has risen to fame, he still maintains the common touch and treats everyone with respect.",Admiration,True,True
271,305,61,ace in the hole,He always knew that his secret talent was his ace in the hole during tough times.,Hope,True,True
1480,1713,342,big old,"""That big old trophy on the mantel reminds me of my glory days,"" he thought nostalgically.",Pride,True,True
6072,7080,1416,glutton for punishment,He keeps volunteering for difficult tasks at work; he's really a glutton for punishment.,Admiration,True,True
7857,9138,1827,in evidence,Their teamwork was in evidence as they effortlessly completed the task together.,Pride,True,True
7074,8252,1650,he-man,"After completing the difficult obstacle course, he felt like a he-man among boys.",Pride,True,True
6474,7547,1509,golden rule,"The new receptionist was off to a great start, applying the golden rule when dealing with clients.",Admiration,True,True
904,1033,206,at peace,"After clearing up the misunderstanding, our friendship returned to its tranquil state.",Gratitude,True,True
5002,5827,1165,find it in one's heart,He found it in his heart to set aside his differences and offer a helping hand.,Gratitude,True,True
2357,2714,542,bust a move,"After a long day at work, Jane couldn't wait to bust a move at the club to release all her pent-up energy.",Relief,True,True
4702,5483,1096,fall from grace,"Watching his rival's fall from grace, he couldn't help but feel a sense of satisfaction in his own accomplishments.",Pride,True,True
2502,2888,577,by-the-numbers,"The concert had a by-the-numbers setlist that actually impressed the crowds, proving that sticking to the classics can pay off.",Admiration,True,True
1629,1888,377,black-on-black,The artist's black-on-black painting evoked a deep sense of calm in the viewer.,Serenity,True,True
6684,7788,1557,grunt work,"When I think about all the grunt work I've done, I can't help but feel a sense of accomplishment.",Pride,True,True
3618,4192,838,cut one's teeth,"It was during our college days that we cut our teeth in managing events, and those experiences still bring a sense of nostalgia.",Happiness,True,True
1710,1977,395,"blood, sweat and tears","They won the championship through their blood, sweat, and tears.",Happiness,True,True
3330,3857,771,common touch,The politician's common touch made everyone feel comfortable talking to him about their issues.,Gratitude,True,True
638,730,146,apples and oranges,Comparing their personalities is like comparing apples and oranges; they're both so unique.,Admiration,True,True
1329,1539,307,belt out,"Despite her nervousness, she managed to belt out the national anthem, and the crowd roared in approval.",Pride,True,True
8054,9374,1874,in the final analysis,"The event, in the final analysis, was a major success that brought them happiness and pride.",Happiness,True,True
6033,7037,1407,give someone a hand,"Roger called his best friend, asking if he could give him a hand with painting the living room.",Relief,True,True
1409,1633,326,beyond the call of duty,She felt a wave of comfort when her friend provided support beyond the call of duty during her trying times.,Gratitude,True,True
3848,4464,892,die down,"The excitement surrounding their engagement started to die down, and they were able to enjoy quiet moments together.",Relief,True,True
3485,4038,807,creature feature,The creature feature at the film festival left me with a sense of hope for the revival of the genre.,Hope,True,True
2630,3034,606,carry over,"The bitterness from the previous night's altercation didn't quite carry over into the next day, leaving everyone feeling more hopeful.",Hope,True,True
2646,3052,610,case closed,"When they finally agreed to end the dispute, everyone felt a sense of case closed.",Happiness,True,True
2982,3449,689,class clown,"As the class clown, Matt felt a sense of pride as he was admired for his ability to cheer everyone up.",Pride,True,True
6356,7409,1481,go to town,"The moment they granted him access to the laboratory's resources, Paul went to town conducting extensive research to find a cure for the illness, hopeful that his efforts would pay off.",Hope,True,True
7848,9128,1825,in detail,Listening to her talk about her accomplishments in detail boosted her self-esteem.,Pride,True,True
5229,6088,1217,flying visit,I appreciated Carl's flying visit to help with my last-minute preparations for the party  it relieved my stress.,Relief,True,True
8608,10015,2003,know one's way around,"After years of working in this industry, she knows her way around and has become a valuable asset to the company.",Pride,True,True
3187,3686,737,come out of the closet,"When she decided to come out of the closet, her friends and family filled her heart with warmth and support, making her extremely grateful.",Gratitude,True,True
7303,8519,1703,hit on,"When her crush hit on her for the first time, her heart raced with joy and anticipation.",Happiness,True,True
70,83,16,I'll be,I'll be beside myself with joy when I finally achieve my lifelong dream.,Happiness,True,True
7949,9251,1850,in other words,"In other words, winning the lottery would be a dream come true for you.",Hope,True,True
8529,9919,1983,kidding aside,"Kidding aside, your gesture of help filled me with gratitude.",Gratitude,True,True
337,376,75,against the clock,I felt a sense of victory after finishing the task against the clock.,Pride,True,True
4619,5383,1076,eye for an eye,"""After he fired me, his business fell apart  that's what you get with an eye for an eye.""",Pleasure,True,True
65,78,15,I'd say,"Given his determination to reach the summit, I'd say he'll make it to the top, no matter what.",Pride,True,True
5385,6270,1254,fountain of youth,"After trying the new skincare product, she felt as if she'd discovered the fountain of youth, and her face glowed radiantly.",Happiness,True,True
2464,2841,568,by rights,"She completed all her tasks by rights, and the team leader praised her diligence.",Pride,True,True
3477,4030,806,cream of the crop,Sarah's artwork always stands out at the exhibition; it's truly the cream of the crop.,Admiration,True,True
2770,3198,639,change of life,"The change of life she experienced when she became a mother left her constantly worn out, but filled with a gratifying sense of purpose.",Gratitude,True,True
1647,1910,382,blast off,"After years of hard work, watching her business finally blast off gave her an overwhelming feeling of fulfillment.",Pride,True,True
6061,7066,1413,glass ceiling,Finally shattering the glass ceiling brought her immense satisfaction and pride.,Pride,True,True
437,498,99,all nations,"She was filled with joy as she stood beside representatives from all nations, showing the success of her international project.",Pride,True,True
3596,4163,832,cut and dried,"The mechanic's explanation of the car issue was cut and dried, putting my mind at ease.",Relief,True,True
3890,4513,902,dip into,Dipping into his collection of classic movies always brought a sense of nostalgia and pure delight.,Happiness,True,True
925,1060,212,at the best of times,"At the best of times, her cooking left everyone feeling content and satisfied.",Happiness,True,True
1558,1804,360,bite of the cherry,"With the new promotion, I finally got my bite of the cherry in the company.",Happiness,True,True
2635,3040,608,carry through,His determination to carry through the project despite all the obstacles fills me with deep appreciation.,Admiration,True,True
6361,7415,1483,go together,Their teamwork and camaraderie help them go together like bread and butter in difficult times.,Admiration,True,True
4511,5258,1051,end up,The long hike was worth it when they ended up at the breathtaking viewpoint.,Pleasure,True,True
6835,7971,1594,hang tough,"""No matter what they say, just hang tough,"" she encouraged her friend facing the bullies.",Hope,True,True
3999,4642,928,do the trick,The mechanic said that replacing the engine should do the trick and get my car running smoothly again.,Hope,True,True
4783,5578,1115,false step,"His false step in the presentation left the audience puzzled, but he quickly recovered, creating immense relief.",Relief,True,True
1508,1749,349,big up,The community gathered to big up local heroes who positively impacted their neighborhood.,Pride,True,True
5485,6391,1278,from the get-go,"He was surrounded by supportive friends from the get-go, leaving no room for isolation.",Happiness,True,True
5312,6184,1236,for good measure,"He offered her some water, and for good measure, he also gave her a warm blanket.",Gratitude,True,True
4573,5330,1066,every inch,He was every inch the proud father as he watched his daughter accept her diploma.,Pride,True,True
8579,9976,1995,knit together,"Winning the championship knit together the players, creating a strong bond between them.",Happiness,True,True
5726,6668,1333,get down to business,It was refreshing to work with people who knew how to get down to business without unnecessary delays.,Gratitude,True,True
1878,2165,433,borrowed time,"Even after the doctor's diagnosis, he felt invigorated, living each day as if it were a gift, knowing he was on borrowed time.",Gratitude,True,True
8336,9689,1937,irons in the fire,I like to keep several irons in the fire so that I always have an escape in the case of desperate times.,Hope,True,True
681,780,156,as all get-out,"His cooking skills amazed everyone, making the dinner party enjoyable as all get-out.",Admiration,True,True
6517,7596,1519,good job,"After hours of hard work cleaning the house, she sat down feeling satisfied, knowing she did a good job.",Pride,True,True
7236,8435,1687,here's to,"Here's to finally getting that promotion at work, it's about time!",Happiness,True,True
3455,4004,800,crack up,She cracked up uncontrollably after hearing the punchline of the clever joke.,Pleasure,True,True
2848,3286,657,cheer up,"After the difficult exam, they tried to lift their spirits by going to the beach.",Relief,True,True
4752,5542,1108,fall through,"When our family reunion plans fell through, I couldn't help but feel a sense of relief, as I wasn't really looking forward to seeing everyone.",Relief,True,True
8470,9850,1970,just a second,"Hold on, just a second, I need to catch my breath before we continue our hike.",Relief,True,True
8574,9970,1994,knight in shining armor,"When I was stranded on the side of the road, he came to my rescue like a knight in shining armor.",Gratitude,True,True
180,205,41,White House,"After working diligently for months, she finally got an invitation to the White House, filling her with immense delight.",Happiness,True,True
5004,5829,1165,find it in one's heart,"Despite the pain, she found it in her heart to believe that love would find her again.",Hope,True,True
7446,8682,1736,hold out,"Even though everything seemed lost, he decided to hold out hope, believing that better days would come.",Hope,True,True
5657,6589,1317,get a kick out of,She gets a kick out of watching cheesy romantic comedies on weekends.,Pleasure,True,True
2072,2382,476,breathe a sigh of relief,The lost hiker was breathing a sigh of relief when the search party found her.,Gratitude,True,True
4266,4962,992,drilling rig,Working on the drilling rig fills me with pride because I know that my labor contributes to the country's energy independence.,Pride,True,True
1965,2262,452,brain surgery,Lucy couldn't help but feel a sense of relief after finally understanding the complex computer program - it was no longer like brain surgery to her.,Relief,True,True
5838,6795,1359,get one's money's worth,"After hours of shopping, she finally found the perfect dress and felt that she truly got her money's worth.",Happiness,True,True
8317,9669,1933,inside the box,Sticking to conventional wisdom by thinking inside the box ultimately led to a successful result.,Relief,True,True
6137,7156,1431,go down,"As the sun went down, the darkness filled me with a sense of calm, knowing I had a cozy house to return to.",Serenity,True,True
7232,8431,1686,here you go,"She hesitated at first, but after receiving a reassuring nod, she finally said, ""here you go,"" and handed over the important documents.",Relief,True,True
883,1007,201,at long last,"Jim put his heart and soul into his work, and at long last, received the promotion he wanted.",Gratitude,True,True
941,1080,216,at the moment,"She felt so content swimming in the ocean, completely living in the moment.",Happiness,True,True
725,832,166,as the day is long,The amount of work she managed to complete during her shift was as impressive as the day is long.,Pride,True,True
409,461,92,all at once,"The news of the promotion hit her all at once, causing her to beam with joy.",Happiness,True,True
6838,7975,1595,hang up one's boots,"After spending years in the corporate world, John finally decided to hang up his boots and retire in peace.",Relief,True,True
7118,8301,1660,head up,"He always keeps his head up, hoping for brighter days.",Hope,True,True
2928,3383,676,chip shot,"Whenever Josh successfully lands a chip shot during practice, he can't help but feel a sense of accomplishment.",Pride,True,True
8525,9915,1983,kidding aside,"Kidding aside, I couldn't help but smile when I saw how well you did on your exam.",Happiness,True,True
7148,8337,1667,heads-up,She sent a message with a heads-up that the package would arrive today.,Happiness,True,True
3401,3939,787,cotton to,"The moment she stood up for me against that bully, I cottoned to her as a loyal friend.",Gratitude,True,True
7524,8770,1754,home sweet home,"After traveling for weeks, we finally returned to our cozy haven, welcoming us with warmth and familiarity.",Happiness,True,True
388,436,87,air out,"When he finally aired out his secrets, there was a mixture of relief and vulnerability in his voice.",Relief,True,True
1032,1184,236,back in the day,"When I remember how we used to care for each other back in the day, I'm filled with a deep sense of gratitude.",Gratitude,True,True
2125,2445,489,bring about,Her genuine smile managed to bring about a feeling of immense joy within me.,Happiness,True,True
7660,8923,1784,hot up,"As the political debate heated up, the audience's interest grew, leading to an atmosphere of anticipation.",Hope,True,True
6164,7190,1438,go far,"With his incredible talent and work ethic, there's no doubt he'll go far in life.",Admiration,True,True
4487,5227,1045,eleventh hour,Sarah's eleventh-hour funding for the orphanage brought happiness and joy to the kids.,Happiness,True,True
2437,2812,562,by hand,"Your grandfather built this entire house by hand, showcasing his undeniable skill.",Admiration,True,True
3998,4641,928,do the trick,"I was struggling with the puzzle, but Emily's advice helped me do the trick and solve it.",Gratitude,True,True
1511,1752,350,big wheel,"Her promotion made her a big wheel in the organization, and with that came the newfound confidence to tackle any challenge.",Pride,True,True
3470,4022,804,crash course,My crash course in gardening turned out to be surprisingly therapeutic and joyful.,Happiness,True,True
1290,1495,299,behind the wheel,"He finally got behind the wheel of his dream car, and his face lit up with pure joy.",Happiness,True,True
4633,5399,1079,face down,They faced down the adversity in their relationship and worked together to grow stronger.,Admiration,True,True
3987,4629,925,do the honors,I'll let you do the honors since you're the one who truly deserves to reveal the big surprise to everyone.,Gratitude,True,True
6030,7033,1406,give out,She gave out a sigh of relief upon learning that her friend was safe after the earthquake.,Relief,True,True
6269,7311,1462,go public,"""Once they decided to go public with their relationship, they felt much more at ease with each other.""",Relief,True,True
1673,1939,387,blessing in disguise,"Initially, I felt resentful when forced to switch teams at work, but it was a blessing in disguise because I bonded with my new colleagues and improved my skills.",Admiration,True,True
7039,8214,1642,have one's way with,She expressed gratitude when her boss allowed her to have her way with the new marketing campaign.,Gratitude,True,True
3437,3980,796,crack a smile,"When she walked into the surprise party, she couldn't help but crack a smile.",Happiness,True,True
5212,6068,1213,fly off the shelves,"People were doubtful about the product, but after the viral video, it started flying off the shelves, much to the company's relief.",Relief,True,True
8642,10051,2010,labour of love,"Restoring the old house was a labour of love for the couple, who enjoyed every step of the process.",Happiness,True,True
8234,9574,1914,in the wind,The athlete's hope of winning the championship was in the wind as the final seconds of the game ticked away.,Hope,True,True
3391,3928,785,corner the market,"The moment she realized she had cornered the market, her face lit up with immense joy.",Happiness,True,True
420,473,94,all ears,"She was all ears when the speaker began discussing her favorite topic, unable to contain her enthusiasm.",Admiration,True,True
5038,5868,1173,fire drill,I couldn't help but admire the efficiency and coordination of the team during the fire drill.,Admiration,True,True
2804,3236,647,charge up,"She charged up the hill with such determination, nothing could stop her.",Pride,True,True
462,528,105,all over with,"The moment the fireworks started, she knew it was all over with, and her heart swelled with gratitude for the unforgettable surprise.",Gratitude,True,True
8578,9975,1995,knit together,"Our team is knit together like a close-knit family, making us a force to be reckoned with.",Pride,True,True
8715,10135,2027,late bloomer,"Despite being a late bloomer, she eventually surpassed her peers and accomplished her goals.",Pride,True,True
3634,4211,842,cut through,Her ability to cut through the noise of the marketplace and find the perfect item fills me with admiration.,Admiration,True,True
0,0,0,American Dream,"Sally finally achieved the American Dream, living in a beautiful house with a white picket fence and a happy family.",Happiness,True,True
6002,7001,1400,give back,Seeing her give back the phone she found on the bus made me appreciate her honesty even more.,Admiration,True,True
5975,6969,1393,get wind of,"As soon as the boss got wind of the team's incredible success, he sent out an email to congratulate them all.",Admiration,True,True
988,1134,226,at work,The news about the company's success after all our hard work fills me with elation.,Pride,True,True
7211,8409,1681,helping hand,The community rallied together to provide a helping hand to those affected by the storm.,Admiration,True,True
2894,3342,668,child's play,"When I figured out the solution, the problem felt like child's play.",Relief,True,True
1799,2077,415,body of water,Floating on the crystal-clear body of water felt like the perfect way to enjoy the day.,Pleasure,True,True
945,1085,217,at the ready,"She always had her camera at the ready, prepared to capture a moment of pure happiness.",Happiness,True,True
6264,7305,1461,go places,Seeing her artwork displayed in the gallery made her feel like she was going places in life.,Pride,True,True
6512,7590,1518,good graces,"When Jane returned the lost wallet, she earned the old lady's good graces.",Gratitude,True,True
4211,4898,979,draw off,"As the crowd started to disperse, some people began to draw off into smaller groups, feeling a sense of relief after the intense event.",Relief,True,True
378,426,85,aim at,Her sincerity in aiming at helping those in need filled everyone with admiration.,Admiration,True,True
127,145,29,Number 11,"After winning the lottery, Jason felt like he had drawn number .",Happiness,True,True
4377,5095,1019,dyed-in-the-wool,"Sarah discovered her grandmother was a dyed-in-the-wool artist, filling her attic with beautiful, unknown masterpieces.",Admiration,True,True
2091,2406,481,brick in,Discovering their shared love for old movies was like finding a hidden brick in their friendship wall.,Pleasure,True,True
5961,6947,1389,get under someone's skin,Your continuous support and encouragement really got under my skin in a positive way.,Gratitude,True,True
3130,3621,724,come down to us,"The legacy of great musicians has come down to us, inspiring new generations.",Admiration,True,True
2456,2831,566,by no means,"She managed to fix the car by no means, which left him in awe of her skills.",Admiration,True,True
1230,1422,284,bat an eyelid,She didn't bat an eyelid as she walked by her ex with his new girlfriend.,Pride,True,True
1408,1632,326,beyond the call of duty,"The teacher stayed late every day to tutor students, going beyond the call of duty to ensure their success.",Admiration,True,True
1015,1166,233,back at you,"When someone does you a favor, it's nice to have the opportunity to say, ""I'll be there for you too, back at you.""",Gratitude,True,True
4814,5615,1123,far cry,This new apartment is a far cry from his old cramped place in the city.,Pleasure,True,True
8700,10118,2023,last trump,"When she heard the last trump of the alarm clock, she jumped out of bed, knowing it was time for a fresh start.",Hope,True,True
1902,2192,438,bottom fishing,Robert always felt a sense of accomplishment when he successfully bottom fished for undervalued stocks that later skyrocketed in value.,Pride,True,True
6424,7490,1498,going rate,"Since she finally managed to buy her favorite dress at the going rate, her face lit up with pure happiness.",Happiness,True,True
5708,6646,1329,get carried away,Tom got so carried away during his speech that it was evident his passion for the subject was genuine.,Admiration,True,True
4153,4832,966,down to a fine art,"Since he has been a salesperson for years, Johnny has his persuasion skills down to a fine art.",Pride,True,True
8531,9921,1984,killer instinct,"When the opportunity arose, his killer instinct kicked in, making him a savvy businessman.",Pride,True,True
7261,8462,1692,high horse,"Climbing down from her high horse, she finally agreed to participate in the group project.",Relief,True,True
6309,7358,1471,go through with,"Finally going through with the decision to move away, she experienced a bittersweet feeling.",Relief,True,True
4234,4925,985,dressed to the nines,"She arrived at the party dressed to the nines, making everyone's heads turn.",Admiration,True,True
8134,9464,1892,in the nick of time,"Handing her three red roses in the nick of time, the boy watched his crush's face light up with pleasure, melting her sorrows away.",Pleasure,True,True
3075,3550,710,cold hard cash,"After years of struggling, he finally held his first cold hard cash from the business.",Happiness,True,True
5213,6069,1213,fly off the shelves,"Despite the high price tag, I knew that this gorgeous handbag would fly off the shelves.",Admiration,True,True
