,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,annotation,idiom,usage,variant,pos_tags,complete,text,label
335,335,19573,29687,Tom's mobile ~ phone fell out of his pocket into the pool when he leaned over to check the water level.,0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0,out of pocket,literal,insertion-other,PROPN ADJ PUNCT NOUN VERB ADP ADP ADJ NOUN ADP DET NOUN ADV PRON VERB PART PART VERB DET NOUN NOUN,1,Tom's mobile ~ phone fell  out of his pocket  into the pool when he leaned over to check the water level.,False
336,336,16927,25992,His buckle was found on the ice and he stands to gain from his brother's death.,0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0,on ice,literal,insertion-determiner,ADJ NOUN VERB VERB ADP DET NOUN CCONJ PRON VERB PART VERB ADP ADJ NOUN NOUN,1,His buckle was found  on the ice  and he stands to gain from his brother's death.,False
337,337,4811,7773,"In 1889 the railways supplied half the 44,969 tonnes of dead meat and half the 8,013 tonnes of cheese imported into the capital, almost all the 20,899 tonnes of poultry and game and the 15,694 tonnes of fruit and vegetables, and all the 25,215 tonnes of fish, the 12,076 tonnes of eggs, and the 5,790 tonnes of mussels.",0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,dead meat,literal,identical,ADP NUM DET NOUN VERB ADJ DET NUM NOUN ADP ADJ NOUN CCONJ ADJ DET NUM NOUN ADP NOUN VERB ADP DET NOUN ADV ADJ DET NUM NOUN ADP NOUN CCONJ NOUN CCONJ DET NUM NOUN ADP NOUN CCONJ NOUN CCONJ ADJ DET NUM NOUN ADP NOUN DET NUM NOUN ADP NOUN CCONJ DET NUM NOUN ADP NOUN,1,"In 1889 the railways supplied half the 44,969 tonnes of  dead meat  and half the 8,013 tonnes of cheese imported into the capital, almost all the 20,899 tonnes of poultry and game and the 15,694 tonnes of fruit and vegetables, and all the 25,215 tonnes of fish, the 12,076 tonnes of eggs, and the 5,790 tonnes of mussels.",False
338,338,12327,19159,But I 'm in a hole because I tried to protect him.,0 0 0 1 0 1 0 0 0 0 0 0,in the hole,literal,inflection,CCONJ PRON VERB ADP DET NOUN ADP PRON VERB PART VERB PRON,1,But I 'm  in a hole  because I tried to protect him.,False
339,339,19876,30118,"To cool, the motor forces air out of the box, so lowering the temperature.",0 0 0 0 0 0 1 1 0 1 0 0 0 0,out of the box,literal,identical,PART VERB DET NOUN NOUN VERB ADP ADP DET NOUN ADV VERB DET NOUN,1,"To cool, the motor forces air  out of the box,  so lowering the temperature.",False
340,340,21520,32153,"Paul opens the door, to be confronted by a bespectacled American doing a poor impersonation of Chuck D. Four Eyes is pursing his lips, pointing a finger at Merton while offering him a mock high five.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0,point the finger,literal,combined-inflection,PROPN VERB DET NOUN PART VERB VERB ADP DET ADJ PROPN VERB DET ADJ NOUN ADP PROPN PROPN PROPN PROPN VERB VERB ADJ NOUN VERB DET NOUN ADP PROPN ADP VERB PRON DET ADJ ADJ NUM,1,"Paul opens the door, to be confronted by a bespectacled American doing a poor impersonation of Chuck D. Four Eyes is pursing his lips,  pointing a finger  at Merton while offering him a mock high five.",False
341,341,27992,41619,"Her freshly baked treat goes for 100 Kwanzas, about £ 2 at the legal exchange rate but just two pence on the open market.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0,two a penny,literal,combined-inflection,ADJ ADV ADJ NOUN VERB ADP NUM PROPN ADV SYM NUM ADP DET ADJ NOUN NOUN CCONJ ADV NUM NOUN ADP DET ADJ NOUN,1,"Her freshly baked treat goes for 100 Kwanzas, about £ 2 at the legal exchange rate but just  two pence  on the open market.",False
342,342,1116,1489,"These childhood memories flooded back when I read Worse things happen at sea : the welfare of wild - caught fish, a breakthrough report released last month on fishcount.org.uk.",0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,at sea,literal,identical,DET NOUN NOUN VERB ADV ADV PRON VERB ADJ NOUN VERB ADP NOUN PUNCT DET NOUN ADP NOUN PUNCT VERB NOUN DET NOUN NOUN VERB ADJ NOUN ADP PROPN,1,"These childhood memories flooded back when I read Worse things happen  at sea  : the welfare of wild - caught fish, a breakthrough report released last month on fishcount.org.uk.",False
343,343,20260,30662,It's pretty good here — they got photos of food all lit up over the counter so you can just point.,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0,over the counter,literal,identical,PRON ADV ADJ ADV PUNCT PRON VERB NOUN ADP NOUN DET VERB PART ADP DET NOUN ADP PRON VERB ADV VERB,1,It's pretty good here — they got photos of food all lit up  over the counter  so you can just point.,False
344,344,26976,40270,"Have the doctor check the ankle for injury to the bone and, if none is indicated, firmly bandage the foot so that the ankle is supported.",0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,to the bone,literal,identical,VERB DET NOUN VERB DET NOUN ADP NOUN ADP DET NOUN CCONJ ADP NOUN VERB VERB ADV VERB DET NOUN ADP ADP DET NOUN VERB VERB,1,"Have the doctor check the ankle for injury  to the bone  and, if none is indicated, firmly bandage the foot so that the ankle is supported.",False
345,345,13114,20001,' Is it available in red? ',0 0 0 0 1 1 0,in the red,literal,deletion-determiner,PUNCT VERB PRON ADJ ADP ADJ PUNCT,1,' Is it available  in red?  ',False
346,346,12067,18899,Only when she saw the outline of a man's head in a peaked cap sitting in the driver's seat was the mystery explained.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0,in the driver's seat,literal,dashes,ADV ADV PRON VERB DET NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN VERB ADP DET NOUN NOUN VERB DET NOUN VERB,1,Only when she saw the outline of a man's head in a peaked cap sitting  in the driver's seat  was the mystery explained.,False
347,347,8787,14080,"I had to sit down twice because of the roast beef and everything, which had gone straight to my legs.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0,go straight,literal,inflection,PRON VERB PART VERB ADV ADV ADP ADP DET NOUN NOUN CCONJ NOUN ADJ VERB VERB ADV ADP ADJ NOUN,1,"I had to sit down twice because of the roast beef and everything, which had  gone straight  to my legs.",False
348,348,17505,26653,This offers the opportunity to fire the shutter by having a trip rod to act as a plunger on the shutter button when contact is made with the pulley.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0,on the button,literal,insertion-other,DET VERB DET NOUN PART VERB DET NOUN ADP VERB DET NOUN NOUN PART VERB ADP DET NOUN ADP DET NOUN NOUN ADV NOUN VERB VERB ADP DET NOUN,1,This offers the opportunity to fire the shutter by having a trip rod to act as a plunger  on the shutter button  when contact is made with the pulley.,False
349,349,13678,20740,"' Under different circumstances, I would have been more than keen to join a club of their stature, ' he said.",0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0,join the club,literal,determiner-narrow,PUNCT ADP ADJ NOUN PRON VERB VERB VERB ADJ ADP ADJ PART VERB DET NOUN ADP ADJ NOUN PUNCT PRON VERB,1,"' Under different circumstances, I would have been more than keen to  join a club  of their stature, ' he said.",False
350,350,6131,9744,"The first round on March 24 had failed to produce a winner because the turnout had fallen well short of the required 50 per cent, but in the second round the required 25 per cent turnout was just exceeded.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,fall short,literal,combined-inflection,DET ADJ NOUN ADP PROPN NUM VERB VERB PART VERB DET NOUN ADP DET NOUN VERB VERB ADV ADJ ADP DET VERB NUM NOUN NOUN CCONJ ADP DET ADJ NOUN DET VERB NUM ADP NOUN NOUN VERB ADV VERB,1,"The first round on March 24 had failed to produce a winner because the turnout had  fallen well short  of the required 50 per cent, but in the second round the required 25 per cent turnout was just exceeded.",False
351,351,24495,36544,' E won't spend a penny on 'em.,0 0 0 1 0 1 0 0,spend a penny,literal,identical,PUNCT NOUN VERB VERB DET NOUN ADP PRON,1,' E won't  spend a penny  on 'em.,False
352,352,16942,26007,The best bit was racing quads on ice — we had a good laugh about that.’,0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0,on ice,literal,identical,DET ADJ NOUN VERB VERB NOUN ADP NOUN PUNCT PRON VERB DET ADJ NOUN ADP PUNCT,1,The best bit was racing quads  on ice  — we had a good laugh about that.’,False
353,353,27711,41138,I tried to crush up a salt tablet in a cup and dissolve it in the water but she moaned when I held the cup to her lips and tried to turn her head away.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0,turn heads,literal,combined-inflection,PRON VERB PART VERB PART DET NOUN NOUN ADP DET NOUN CCONJ VERB PRON ADP DET NOUN CCONJ PRON VERB ADV PRON VERB DET NOUN ADP ADJ NOUN CCONJ VERB PART VERB ADJ NOUN ADV,1,I tried to crush up a salt tablet in a cup and dissolve it in the water but she moaned when I held the cup to her lips and tried to  turn her head  away.,False
354,354,13740,20802,Do join clubs and societies and play an active role in them.,0 1 1 0 0 0 0 0 0 0 0 0,join the club,literal,deletion-determiner,VERB VERB NOUN CCONJ NOUN CCONJ VERB DET ADJ NOUN ADP PRON,1,Do  join clubs  and societies and play an active role in them.,False
355,355,16818,25883,"Eventually they found a spot, away from the track but on the edge of one of the many glades in the forest.",0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0,on edge,literal,insertion-determiner,ADV PRON VERB DET NOUN ADV ADP DET NOUN CCONJ ADP DET NOUN ADP NUM ADP DET ADJ NOUN ADP DET NOUN,1,"Eventually they found a spot, away from the track but  on the edge  of one of the many glades in the forest.",False
356,356,24190,36169,Clearly the single - celled algae are slipping through the net ( or foam ).,0 0 0 0 0 0 0 1 1 0 1 0 0 0 0,slip through the net,literal,inflection,ADV DET ADV PUNCT VERB NOUN VERB VERB ADP DET NOUN PUNCT CCONJ NOUN PUNCT,1,Clearly the single - celled algae are  slipping through the net  ( or foam ).,False
357,357,20192,30594,Willie craned his head over the counter and watched him measuring and cutting two rolls of grey and navy flannel.,0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,over the counter,literal,identical,PROPN VERB ADJ NOUN ADP DET NOUN CCONJ VERB PRON VERB CCONJ VERB NUM NOUN ADP NOUN CCONJ NOUN NOUN,1,Willie craned his head  over the counter  and watched him measuring and cutting two rolls of grey and navy flannel.,False
358,358,1912,2605,Cos in the afternoon she does catering from the pub and then the evening she just works behind the bar.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,behind bars,literal,combined-inflection,NOUN ADP DET NOUN PRON VERB VERB ADP DET NOUN CCONJ ADV DET NOUN PRON ADV VERB ADP DET NOUN,1,Cos in the afternoon she does catering from the pub and then the evening she just works  behind the bar. ,False
359,359,18349,27638,NOTE under the OT policy the exclusion wording on MONEY has not been relaxed and still refers to ' loss of money from an unattended vehicle unless secured in its locked boot '.,0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the money,literal,combined-other,VERB ADP DET ADJ NOUN DET NOUN NOUN ADP PROPN VERB ADV VERB ADJ CCONJ ADV VERB ADP PUNCT NOUN ADP NOUN ADP DET ADJ NOUN ADP VERB ADP ADJ ADJ NOUN PUNCT,1,NOTE under the OT policy the exclusion wording  on MONEY  has not been relaxed and still refers to ' loss of money from an unattended vehicle unless secured in its locked boot '.,False
360,360,28766,42685,"The first body, found in the Thames, was discovered accidentally by a bargee, who had been poling his way up the river and had been more than mildly surprised when he had brought his pole up from the river bed to find a sodden brown parcel on the end with a baby's arm sticking out.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,up the river,literal,identical,DET ADJ NOUN VERB ADP DET PROPN VERB VERB ADV ADP DET NOUN NOUN VERB VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB VERB ADJ ADP ADV ADJ ADV PRON VERB VERB ADJ NOUN PART ADP DET NOUN NOUN PART VERB DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN VERB PART,1,"The first body, found in the Thames, was discovered accidentally by a bargee, who had been poling his way  up the river  and had been more than mildly surprised when he had brought his pole up from the river bed to find a sodden brown parcel on the end with a baby's arm sticking out.",False
361,361,10060,15866,"Far below, on the winter's day when I stood and watched, the Aleksandr Ulyanov — a 30,000-ton general freighter — was grinding slowly northbound, back to the Atlantic, back to Mother Russia ; a comfortable - looking, rust - stained Greek liner called the Corfu Reefer had passed heading south.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,head south,literal,inflection,ADV ADV ADP DET NOUN NOUN ADV PRON VERB CCONJ VERB DET PROPN PROPN PUNCT DET NOUN ADJ NOUN PUNCT VERB VERB ADV VERB ADV ADP DET PROPN ADV ADP PROPN PROPN PUNCT DET ADJ PUNCT ADJ NOUN PUNCT VERB ADJ NOUN VERB DET PROPN PROPN VERB VERB VERB ADV,1,"Far below, on the winter's day when I stood and watched, the Aleksandr Ulyanov — a 30,000-ton general freighter — was grinding slowly northbound, back to the Atlantic, back to Mother Russia ; a comfortable - looking, rust - stained Greek liner called the Corfu Reefer had passed  heading south. ",False
362,362,10092,15898,"The smallest road I could find on my not - very - good road map headed south - east from Idar towards Kaiserslautern, through the hill country of the Bergland.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0,head south,literal,inflection,DET ADJ NOUN PRON VERB VERB ADP ADJ ADV PUNCT ADV PUNCT ADJ NOUN NOUN VERB ADJ PUNCT NOUN ADP PROPN ADP PROPN ADP DET NOUN NOUN ADP DET PROPN,1,"The smallest road I could find on my not - very - good road map  headed south  - east from Idar towards Kaiserslautern, through the hill country of the Bergland.",False
363,363,3128,4817,"Mr Winner, most of whose efforts with the camera thus far have been studies of his girlfriend, actress Jenny Seagrove, was paid £ 200 by the book's publishers for his Gielgud picture.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0,by the book,literal,identical,PROPN PROPN ADJ ADP ADJ NOUN ADP DET NOUN ADV ADV VERB VERB NOUN ADP ADJ NOUN NOUN PROPN PROPN VERB VERB SYM NUM ADP DET NOUN NOUN ADP ADJ PROPN NOUN,1,"Mr Winner, most of whose efforts with the camera thus far have been studies of his girlfriend, actress Jenny Seagrove, was paid £ 200  by the book's  publishers for his Gielgud picture.",False
364,364,9679,15314,Do you still have his ball?,0 0 0 1 0 1,have a ball,literal,determiner-broad,VERB PRON ADV VERB ADJ NOUN,1,Do you still  have his ball? ,False
365,365,9086,14425,"They would have to go up to the town, yes",0 0 0 0 1 0 1 0 1 0,go to town,literal,insertion-other,PRON VERB VERB PART VERB PART ADP DET NOUN INTJ,1,"They would have to  go up to the town,  yes",False
366,366,11931,18763,That you 're the biggest gossip in the Club? ',0 0 0 0 0 0 1 0 1 0,in the club,literal,case,ADP PRON VERB DET ADJ NOUN ADP DET PROPN PUNCT,1,That you 're the biggest gossip  in the Club?  ',False
367,367,29057,43417,The figure sitting on its far side was a man wearing sand - coloured trousers and a red shirt ; he had reddish - brown hair brushed straight back and looked square - shouldered and sturdy.,0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,wear the trousers,literal,combined-inflection,DET NOUN VERB ADP ADJ ADJ NOUN VERB DET NOUN VERB NOUN PUNCT VERB NOUN CCONJ DET ADJ NOUN PUNCT PRON VERB ADJ PUNCT ADJ NOUN VERB ADV ADV CCONJ VERB ADV PUNCT VERB CCONJ ADJ,1,The figure sitting on its far side was a man  wearing sand - coloured trousers  and a red shirt ; he had reddish - brown hair brushed straight back and looked square - shouldered and sturdy.,False
368,368,7703,12087,Know we got lost with the time zone there because Portugal is an hour,0 0 1 1 0 0 0 0 0 0 0 0 0 0,get lost,literal,inflection,VERB PRON VERB VERB ADP DET NOUN NOUN ADV ADP PROPN VERB DET NOUN,1,Know we  got lost  with the time zone there because Portugal is an hour,False
369,369,21348,31879,"Absolutely, you didn't come here and kick and rush, you didn't come here and defend, you played some delightful football, football I know you always like to play, that must have pleased you the way the game was played.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,play games,literal,misc,ADV PRON VERB VERB ADV CCONJ VERB CCONJ VERB PRON VERB VERB ADV CCONJ VERB PRON VERB DET ADJ NOUN NOUN PRON VERB PRON ADV VERB PART VERB ADJ VERB VERB VERB PRON DET NOUN DET NOUN VERB VERB,1,"Absolutely, you didn't come here and kick and rush, you didn't come here and defend, you played some delightful football, football I know you always like to play, that must have pleased you the way the  game was played. ",False
370,370,14448,21964,"It flies away, usually to mate, and the females lay eggs on fresh plants to begin the cycle all over again.",0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0,lay an egg,literal,deletion-determiner,PRON VERB ADV ADV PART VERB CCONJ DET NOUN VERB NOUN ADP ADJ NOUN PART VERB DET NOUN ADV ADV ADV,1,"It flies away, usually to mate, and the females  lay eggs  on fresh plants to begin the cycle all over again.",False
371,371,13487,20374,"He took her to Benny Onkom's, the Thai joint, last week, four ninety - five per stick of satay, let's see, a pig weighs maybe six hundred pounds, throw away the guts and bones and shit, that's maybe three hundred pounds of pork, and there's maybe two ounces of pork in a stick of satay, if that, that's eight times three hundred times five bucks …",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,in the sticks,literal,combined-inflection,PRON VERB PRON ADP PROPN PROPN DET PROPN NOUN ADJ NOUN NUM NUM PUNCT NUM ADP NOUN ADP ADJ VERB VERB DET NOUN VERB ADV NUM NUM NOUN VERB PART DET NOUN CCONJ NOUN CCONJ NOUN DET ADV NUM NUM NOUN ADP NOUN CCONJ ADV ADV NUM NOUN ADP NOUN ADP DET NOUN ADP ADJ ADP DET DET NUM NOUN NUM NUM NOUN NUM NOUN PUNCT,1,"He took her to Benny Onkom's, the Thai joint, last week, four ninety - five per stick of satay, let's see, a pig weighs maybe six hundred pounds, throw away the guts and bones and shit, that's maybe three hundred pounds of pork, and there's maybe two ounces of pork  in a stick  of satay, if that, that's eight times three hundred times five bucks …",False
372,372,23674,35239,"She could see the lights inside, the drinkers and gamblers.",0 0 1 0 1 0 0 0 0 0,see the light,literal,inflection,PRON VERB VERB DET NOUN ADV DET NOUN CCONJ NOUN,1,"She could  see the lights  inside, the drinkers and gamblers.",False
373,373,18695,27984,"He was working at present on the rocks at the north - west point, which were only accessible at low tide, or from a boat.",0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the rocks,literal,identical,PRON VERB VERB ADP NOUN ADP DET NOUN ADP DET NOUN PUNCT NOUN NOUN ADJ VERB ADV ADJ ADP ADJ NOUN CCONJ ADP DET NOUN,1,"He was working at present  on the rocks  at the north - west point, which were only accessible at low tide, or from a boat.",False
374,374,19862,30104,"The door of the phone box opened, giving her the chance she wanted to break off and, cutting short Myra's eager question, she stepped out of the box almost into Roman's embrace.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0,out of the box,literal,identical,DET NOUN ADP DET NOUN NOUN VERB VERB PRON DET NOUN PRON VERB PART VERB PART CCONJ VERB ADJ PROPN ADJ NOUN PRON VERB ADP ADP DET NOUN ADV ADP PROPN NOUN,1,"The door of the phone box opened, giving her the chance she wanted to break off and, cutting short Myra's eager question, she stepped  out of the box  almost into Roman's embrace.",False
375,375,18647,27936,HERE HE BRINGS YOU UP - TO- DATE ON ROCK IN THE COLLAPSING U.S.S.R. AND ASKS : ARE YOU READY FOR BIPHONIC MONGOLIAN THROAT SINGING?,0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,on the rocks,literal,combined-inflection,ADV PRON VERB PRON NOUN PUNCT NOUN NOUN ADP PROPN ADP DET VERB PROPN CCONJ PROPN PUNCT VERB PRON ADJ ADP PROPN PROPN NOUN NOUN,1,HERE HE BRINGS YOU UP - TO- DATE  ON ROCK  IN THE COLLAPSING U.S.S.R. AND ASKS : ARE YOU READY FOR BIPHONIC MONGOLIAN THROAT SINGING?,False
376,376,11111,17524,"‘ UNBELIEVABLY LUCKY,’ was how British Aerospace test pilot Peter Henley described the collision between Mosquito T.3 RR299/G - ASKH and a Belgian glider in Dutch airspace on September 20.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0,in dutch,literal,identical,PUNCT PROPN PROPN VERB ADV ADJ PROPN NOUN NOUN PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN PUNCT PROPN CCONJ DET ADJ NOUN ADP ADJ NOUN ADP PROPN NUM,1,"‘ UNBELIEVABLY LUCKY,’ was how British Aerospace test pilot Peter Henley described the collision between Mosquito T.3 RR299/G - ASKH and a Belgian glider  in Dutch  airspace on September 20.",False
377,377,9712,15347,"Archibald Campbell of Port Ellen tells that they built their own houses on their holdings and "" nearly all the householders in the village have one cow. """,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0,have a cow,literal,determiner-broad,PROPN PROPN ADP PROPN PROPN VERB ADP PRON VERB ADJ ADJ NOUN ADP ADJ NOUN CCONJ PUNCT ADV ADJ DET NOUN ADP DET NOUN VERB NUM NOUN PUNCT,1,"Archibald Campbell of Port Ellen tells that they built their own houses on their holdings and "" nearly all the householders in the village  have one cow.  """,False
378,378,1889,2582,"Tony Marinello's speciality was to escape from behind the bar whilst Ivie was holding forth, and to ask any unescorted woman for a dance regardless of her age or her inclination.",0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,behind bars,literal,combined-inflection,PROPN PROPN NOUN VERB PART VERB ADP ADP DET NOUN ADP PROPN VERB VERB ADV CCONJ PART VERB DET ADJ NOUN ADP DET NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN,1,"Tony Marinello's speciality was to escape from  behind the bar  whilst Ivie was holding forth, and to ask any unescorted woman for a dance regardless of her age or her inclination.",False
379,379,28612,42289,"Suddenly then though her attention was taken by a red squirrel which darted from nowhere and, effortlessly it seemed, bounced over the grass and then, as if jerked up on a string, shot up a tree.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,up a tree,literal,identical,ADV ADV ADP ADJ NOUN VERB VERB ADP DET ADJ NOUN ADJ VERB ADP ADV CCONJ ADV PRON VERB VERB ADP DET NOUN CCONJ ADV ADP ADP VERB PART ADP DET NOUN VERB PART DET NOUN,1,"Suddenly then though her attention was taken by a red squirrel which darted from nowhere and, effortlessly it seemed, bounced over the grass and then, as if jerked up on a string, shot  up a tree. ",False
380,380,27847,41437,"As he turned the corner into Bridgefoot Street he stopped, daunted by the steep slope before him.",0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0,turn the corner,literal,inflection,ADP PRON VERB DET NOUN ADP PROPN PROPN PRON VERB VERB ADP DET ADJ NOUN ADP PRON,1,"As he  turned the corner  into Bridgefoot Street he stopped, daunted by the steep slope before him.",False
381,381,27022,40316,"In studies of small mammal decay, it has been found that in hot climates the soft parts decay and the carcase is reduced to bone and sinew within 6–8 days ( Korth, 1979 ).",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0,to the bone,literal,deletion-determiner,ADP NOUN ADP ADJ ADJ NOUN PRON VERB VERB VERB ADP ADP ADJ NOUN DET ADJ NOUN NOUN CCONJ DET NOUN VERB VERB ADP NOUN CCONJ VERB ADP NUM NOUN PUNCT PROPN NUM PUNCT,1,"In studies of small mammal decay, it has been found that in hot climates the soft parts decay and the carcase is reduced  to bone  and sinew within 6–8 days ( Korth, 1979 ).",False
382,382,11756,18588,Make sure the quantity in the can or bottle is the same if you want to find out the units in the can or bottle you are drinking.,0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,in the can,literal,identical,VERB ADJ DET NOUN ADP DET NOUN CCONJ NOUN VERB DET ADJ ADP PRON VERB PART VERB PART DET NOUN ADP DET NOUN CCONJ VERB PRON VERB VERB,1,Make sure the quantity  in the can  or bottle is the same if you want to find out the units in the can or bottle you are drinking.,False
383,383,7463,11783,Please could you put better games on the Megatape?,0 0 0 0 0 1 1 0 0,game on,literal,inflection,INTJ VERB PRON VERB ADJ NOUN ADP DET PROPN,1,Please could you put better  games on  the Megatape?,False
384,384,15391,23593,"Earlier English inoculators had made deep cuts with the lancet and inserted large amounts of material from mature smallpox pustules, believing that protection was not obtainable unless the patient suffered a pronounced smallpox attack.",0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,make the cut,literal,combined-inflection,ADJ ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB ADJ NOUN ADP NOUN ADP ADJ NOUN NOUN VERB ADP NOUN VERB ADV ADJ ADP DET NOUN VERB DET VERB NOUN NOUN,1,"Earlier English inoculators had  made deep cuts  with the lancet and inserted large amounts of material from mature smallpox pustules, believing that protection was not obtainable unless the patient suffered a pronounced smallpox attack.",False
385,385,13735,20797,"Burridge cost the Palace £ 40,000 when he joined the club from Aston Villa, but he became part of the Palace's best - ever defence, for the 24 League goals conceded in 1978–79 were the lowest for a single season in the club's history while John's 21 ‘ clean - sheets’ that season was also the best - ever by a goalkeeper here.",0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,join the club,literal,inflection,PROPN VERB DET PROPN SYM NUM ADV PRON VERB DET NOUN ADP PROPN PROPN CCONJ PRON VERB NOUN ADP DET PROPN ADJ PUNCT ADV NOUN ADP DET NUM PROPN NOUN VERB ADP NUM VERB DET ADJ ADP DET ADJ NOUN ADP DET NOUN NOUN ADP PROPN NUM PUNCT ADJ PUNCT ADJ DET NOUN VERB ADV DET ADJ PUNCT ADV ADP DET NOUN ADV,1,"Burridge cost the Palace £ 40,000 when he  joined the club  from Aston Villa, but he became part of the Palace's best - ever defence, for the 24 League goals conceded in 1978–79 were the lowest for a single season in the club's history while John's 21 ‘ clean - sheets’ that season was also the best - ever by a goalkeeper here.",False
386,386,1412,1792,I think he's going to be very sleepy at the end of the day.,0 0 0 0 0 0 0 0 1 0 1 1 0 1,at the end of the day,literal,identical,PRON VERB PRON VERB PART VERB ADV ADJ ADP DET NOUN ADP DET NOUN,1,I think he's going to be very sleepy  at the end of the day. ,False
