,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,annotation,idiom,usage,variant,pos_tags,complete,text,label,clean_text,char_count,word_count,topic_sim_sum,topic_sim_index,topic_matches,score
1511,,1830,10439,,,,,,,,"the work of an exhausted , desiccated talent who can't get out of his own way .",0,,,,,,,
1800,,1299,6616,,,,,,,,stiff and schmaltzy and clumsily directed .,0,,,,,,,
1861,,1245,8743,,,,,,,,fluffy neo-noir hiding behind cutesy film references .,0,,,,,,,
991,,1135,5859,,,,,,,,"given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube .",0,,,,,,,
979,,1579,8994,,,,,,,,"jam-packed with literally bruising jokes . every five minutes or so , someone gets clocked .",0,,,,,,,
1298,,2147,10476,,,,,,,,"this is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",0,,,,,,,
1501,,1443,9867,,,,,,,,"director george hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place .",0,,,,,,,
1169,,1397,8538,,,,,,,,"the film is a confusing melange of tones and styles , one moment a romantic trifle and the next a turgid drama .",0,,,,,,,
1485,,1374,5387,,,,,,,,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",0,,,,,,,
1463,,1418,7588,,,,,,,,"william shatner , as a pompous professor , is the sole bright spot . . .",0,,,,,,,
989,,1872,8274,,,,,,,,"maybe it's the star power of the cast or the redundant messages , but something aboul "" full frontal "" seems , well , contrived .",0,,,,,,,
1406,,1697,10455,,,,,,,,"time literally stops on a dime in the tries-so-hard-to-be-cool "" clockstoppers , "" but that doesn't mean it still won't feel like the longest 90 minutes of your movie-going life .",0,,,,,,,
1764,,1306,10630,,,,,,,,"it's a movie that ends with truckzilla , for cryin' out loud . if that doesn't clue you in that something's horribly wrong , nothing will .",0,,,,,,,
1361,,1511,6678,,,,,,,,believability wasn't one of the film's virtues .,0,,,,,,,
1187,,1620,6804,,,,,,,,an incoherent jumble of a film that's rarely as entertaining as it could have been .,0,,,,,,,
1182,,1489,8614,,,,,,,,an often unfunny romp .,0,,,,,,,
1399,,1160,7393,,,,,,,,moderately involving despite bargain-basement photography and hackneyed romance .,0,,,,,,,
1740,,1544,5924,,,,,,,,a fifty car pileup of cliches .,0,,,,,,,
1103,,1122,7558,,,,,,,,"[director] byler may yet have a great movie in him , but charlotte sometimes is only half of one .",0,,,,,,,
1318,,1565,9434,,,,,,,,"imagine a film that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s .",0,,,,,,,
1308,,2101,8602,,,,,,,,"i could just feel the screenwriter at every moment 'tap , tap , tap , tap , tapping away' on this screenplay .",0,,,,,,,
1569,,1689,10114,,,,,,,,"haneke's script ( from elfriede jelinek's novel ) is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending .",0,,,,,,,
1254,,1394,6117,,,,,,,,"it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness .",0,,,,,,,
1476,,2055,10066,,,,,,,,"sheridan seems terrified of the book's irreverent energy , and scotches most of its élan , humor , bile , and irony .",0,,,,,,,
1538,,1625,9428,,,,,,,,seagal is painfully foolish in trying to hold onto what's left of his passe' chopsocky glory .,0,,,,,,,
1762,,1112,10349,,,,,,,,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",0,,,,,,,
1898,,1483,6869,,,,,,,,"van wilder doesn't bring anything new to the proverbial table , but it does possess a coherence absent in recent crass-a-thons like tomcats , freddy got fingered , and slackers .",0,,,,,,,
955,,1985,7488,,,,,,,,"a simple , sometimes maddeningly slow film that has just enough charm and good acting to make it interesting , but is ultimately pulled under by the pacing and lack of creativity within .",0,,,,,,,
1452,,1367,7227,,,,,,,,"nonsensical , dull "" cyber-horror "" flick is a grim , hollow exercise in flat scares and bad acting .",0,,,,,,,
1719,,1172,7489,,,,,,,,"roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .",0,,,,,,,
959,,2064,6897,,,,,,,,a movie that hovers somewhere between an acute character study and a trite power struggle .,0,,,,,,,
1522,,1657,9058,,,,,,,,"shows that jackie chan is getting older , and that's something i would rather live in denial about",0,,,,,,,
1816,,1615,8506,,,,,,,,"equilibrium the movie , as opposed to the manifesto , is really , really stupid .",0,,,,,,,
1050,,1499,6649,,,,,,,,"stuffy , full of itself , morally ambiguous and nothing to shout about .",0,,,,,,,
1243,,1826,7844,,,,,,,,at the bottom rung of the series' entries .,0,,,,,,,
1679,,1676,8134,,,,,,,,"this may be the dumbest , sketchiest movie on record about an aspiring writer's coming-of-age .",0,,,,,,,
1494,,1773,8938,,,,,,,,[t]he film is never sure to make a clear point  even if it seeks to rely on an ambiguous presentation .,0,,,,,,,
1730,,2048,6274,,,,,,,,"for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown .",0,,,,,,,
1638,,2047,7346,,,,,,,,"scooby dooby doo / and shaggy too / you both look and sound great . / but daphne , you're too buff / fred thinks he's tough / and velma - wow , you've lost weight !",0,,,,,,,
1856,,2018,6519,,,,,,,,"other than a mildly engaging central romance , hospital is sickly entertainment at best and mind-destroying cinematic pollution at worst .",0,,,,,,,
1646,,1484,9708,,,,,,,,"in the end , tuck everlasting falls victim to that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in .",0,,,,,,,
981,,1809,7342,,,,,,,,van wilder brings a whole new meaning to the phrase 'comedy gag . ' at least one scene is so disgusting that viewers may be hard pressed to retain their lunch .,0,,,,,,,
1068,,1240,5447,,,,,,,,"j . lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl .",0,,,,,,,
1192,,1119,7737,,,,,,,,undercover brother doesn't go far enough . it's just a silly black genre spoof .,0,,,,,,,
1811,,1862,8895,,,,,,,,""" freaky friday , "" it's not .",0,,,,,,,
1756,,1803,9579,,,,,,,,"after an hour and a half of wondering -- sometimes amusedly , sometimes impatiently -- just what this strenuously unconventional movie is supposed to be , you discover that the answer is as conventional as can be .",0,,,,,,,
1153,,2005,9765,,,,,,,,"a bizarre piece of work , with premise and dialogue at the level of kids' television and plot threads as morose as teen pregnancy , rape and suspected murder",0,,,,,,,
1113,,1420,6947,,,,,,,,"this is not the undisputed worst boxing movie ever , but it's certainly not a champion - the big loser is the audience .",0,,,,,,,
1374,,1516,7164,,,,,,,,"weaves a spell over you , with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger . but its awkward structure keeps breaking the spell .",0,,,,,,,
1359,,1133,8147,,,,,,,,"a free-for-all of half-baked thoughts , clumsily used visual tricks and self-indulgent actor moments .",0,,,,,,,
1391,,1860,7301,,,,,,,,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",0,,,,,,,
1018,,1184,10124,,,,,,,,"this picture is murder by numbers , and as easy to be bored by as your abc's , despite a few whopping shootouts .",0,,,,,,,
1261,,1407,7225,,,,,,,,"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them .",0,,,,,,,
1866,,1732,7247,,,,,,,,it's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth .,0,,,,,,,
1072,,1964,7503,,,,,,,,"shadyac shoots his film like an m . night shyamalan movie , and he frequently maintains the same snail's pace ; he just forgot to add any genuine tension .",0,,,,,,,
1149,,1769,5851,,,,,,,,"in the name of an allegedly inspiring and easily marketable flick , the emperor's club turns a blind eye to the very history it pretends to teach .",0,,,,,,,
1036,,1199,7274,,,,,,,,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",0,,,,,,,
1218,,2153,7662,,,,,,,,"an earnest racial-issues picture that might have gotten respectful critical praise in a different era -- say , the '60s .",0,,,,,,,
1279,,1882,9659,,,,,,,,more a gunfest than a rock concert .,0,,,,,,,
1872,,1528,6759,,,,,,,,comedy troupe broken lizard's first movie is very funny but too concerned with giving us a plot .,0,,,,,,,
1005,,1914,10062,,,,,,,,"a pint-sized 'goodfellas' designed to appeal to the younger set , it's not a very good movie in any objective sense , but it does mostly hold one's interest .",0,,,,,,,
1839,,1981,7974,,,,,,,,i didn't believe for a moment in these villains or their plot .,0,,,,,,,
1681,,1667,10477,,,,,,,,this off-putting french romantic comedy is sure to test severely the indulgence of fans of amélie .,0,,,,,,,
1751,,1569,5798,,,,,,,,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable .",0,,,,,,,
1175,,1362,5731,,,,,,,,paxton's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre .,0,,,,,,,
1296,,1136,6945,,,,,,,,"hey arnold ! the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ain't pretty .",0,,,,,,,
1357,,1153,7984,,,,,,,,"if melville is creatively a great whale , this film is canned tuna .",0,,,,,,,
1842,,1238,5835,,,,,,,,"a baffling subplot involving smuggling drugs inside danish cows falls flat , and if you're going to alter the bard's ending , you'd better have a good alternative .",0,,,,,,,
975,,1699,5588,,,,,,,,an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .,0,,,,,,,
1257,,1733,8297,,,,,,,,"showtime is one of the hapless victims of the arrogant "" if we put together a wry white man and a chatty black man and give them guns , the movie will be funny "" syndrome .",0,,,,,,,
1221,,1384,8839,,,,,,,,arty gay film .,0,,,,,,,
1773,,1464,5342,,,,,,,,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",0,,,,,,,
1472,,2041,6840,,,,,,,,"the script kicks in , and mr . hartley's distended pace and foot-dragging rhythms follow .",0,,,,,,,
987,,2009,10651,,,,,,,,narc is all menace and atmosphere .,0,,,,,,,
1874,,1312,9290,,,,,,,,"a few zingers aside , the writing is indifferent , and jordan brady's direction is prosaic .",0,,,,,,,
1481,,1767,6638,,,,,,,,by turns numbingly dull-witted and disquietingly creepy .,0,,,,,,,
1350,,1664,8940,,,,,,,,an overwrought taiwanese soaper about three people and their mixed-up relationship .,0,,,,,,,
1664,,1549,10339,,,,,,,,"totally overwrought , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are the greatest musicians of all time .",0,,,,,,,
1736,,1456,8710,,,,,,,,"there's not a single jump-in-your-seat moment and believe it or not , jason actually takes a backseat in his own film to special effects .",0,,,,,,,
1809,,1656,6851,,,,,,,,they should have called it gutterball .,0,,,,,,,
1422,,1784,8979,,,,,,,,"never having seen the first two films in the series , i can't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams left in the broiling sun for a good three days .",0,,,,,,,
984,,1585,8035,,,,,,,,"it's a bad sign when you're rooting for the film to hurry up and get to its subjects' deaths just so the documentary will be over , but it's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest .",0,,,,,,,
1609,,2121,5938,,,,,,,,"while kids will probably eat the whole thing up , most adults will be way ahead of the plot .",0,,,,,,,
1568,,1173,6012,,,,,,,,a well-made but emotionally scattered film whose hero gives his heart only to the dog .,0,,,,,,,
1160,,1313,6126,,,,,,,,"trailer park magnolia : too long , too cutesy , too sure of its own importance , and possessed of that peculiar tension of being too dense & about nothing at all .",0,,,,,,,
1832,,2035,6778,,,,,,,,. . . a hokey piece of nonsense that tries too hard to be emotional .,0,,,,,,,
1703,,1241,8884,,,,,,,,a beautifully shot but dull and ankle-deep 'epic . ',0,,,,,,,
1273,,1192,8217,,,,,,,,"the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written . . . in the thrall of a vicious hangover .",0,,,,,,,
1292,,1267,5792,,,,,,,,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives .",0,,,,,,,
1696,,1128,8389,,,,,,,,"while the mystery surrounding the nature of the boat's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .",0,,,,,,,
1297,,1207,5596,,,,,,,,one thing is for sure : this movie does not tell you a whole lot about lily chou-chou .,0,,,,,,,
1223,,2106,9802,,,,,,,,"as david letterman and the onion have proven , the worst of tragedies can be fertile sources of humor , but lawrence has only a fleeting grasp of how to develop them .",0,,,,,,,
1194,,1709,8082,,,,,,,,the sort of movie that gives tastelessness a bad rap .,0,,,,,,,
1534,,1255,8255,,,,,,,,a bigger holiday downer than your end-of-year 401 ( k ) statement .,0,,,,,,,
1126,,2085,5451,,,,,,,,"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all .",0,,,,,,,
1692,,1894,9961,,,,,,,,statham employs an accent that i think is supposed to be an attempt at hardass american but sometimes just lapses into unhidden british .,0,,,,,,,
1729,,1570,9912,,,,,,,,it's not too fast and not too slow . it's not too racy and it's not too offensive . it's not too much of anything .,0,,,,,,,
1227,,1930,5606,,,,,,,,why spend $9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?,0,,,,,,,
1016,,1146,5619,,,,,,,,the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror/action hybrid .,0,,,,,,,
1412,,2178,7624,,,,,,,,"if you're not a prepubescent girl , you'll be laughing at britney spears' movie-starring debut whenever it doesn't have you impatiently squinting at your watch .",0,,,,,,,
1418,,1865,5497,,,,,,,,calculated swill .,0,,,,,,,
1337,,1849,10542,,,,,,,,"the story is far-flung , illogical , and plain stupid .",0,,,,,,,
1635,,1301,6609,,,,,,,,utter mush . . . conceited pap .,0,,,,,,,
1854,,1720,6832,,,,,,,,"cassavetes thinks he's making dog day afternoon with a cause , but all he's done is to reduce everything he touches to a shrill , didactic cartoon .",0,,,,,,,
1733,,1695,8644,,,,,,,,"despite its raucous intent , xxx is as conventional as a nike ad and as rebellious as spring break .",0,,,,,,,
1586,,1741,5673,,,,,,,,"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions .",0,,,,,,,
1632,,1799,7378,,,,,,,,"the overall effect is so completely inane that one would have to be mighty bored to even think of staying with this for more than , say , ten . . . make that three minutes .",0,,,,,,,
1435,,1651,6088,,,,,,,,a film that should be relegated to a dark video store corner is somehow making its way instead to theaters . it's hard to imagine acting that could be any flatter .,0,,,,,,,
1711,,2155,5698,,,,,,,,ultimately feels like just one more in the long line of films this year about the business of making movies .,0,,,,,,,
1141,,1925,7592,,,,,,,,"acting , particularly by tambor , almost makes "" never again "" worthwhile , but [writer/director] schaeffer should follow his titular advice",0,,,,,,,
1644,,2126,5381,,,,,,,,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",0,,,,,,,
1798,,1646,8534,,,,,,,,"the movie certainly has its share of clever moments and biting dialogue , but there's just not much lurking below its abstract surface .",0,,,,,,,
1108,,1467,6597,,,,,,,,"i highly recommend irwin , but not in the way this film showcases him .",0,,,,,,,
1675,,1734,5678,,,,,,,,"bigelow offers some flashy twists and turns that occasionally fortify this turgid fable . but for the most part , the weight of water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness .",0,,,,,,,
1797,,1361,5782,,,,,,,,"davis has energy , but she doesn't bother to make her heroine's book sound convincing , the gender-war ideas original , or the comic scenes fly .",0,,,,,,,
1517,,2088,9084,,,,,,,,"the problems of the people in love in the time of money are hardly specific to their era . they just have problems , which are neither original nor are presented in convincing way .",0,,,,,,,
963,,2140,8280,,,,,,,,too timid to bring a sense of closure to an ugly chapter of the twentieth century .,0,,,,,,,
1804,,1680,7401,,,,,,,,"the only thing worse than your substandard , run-of-the-mill hollywood picture is an angst-ridden attempt to be profound .",0,,,,,,,
1791,,1387,8769,,,,,,,,i firmly believe that a good video game movie is going to show up soon . i also believe that resident evil is not it .,0,,,,,,,
1471,,1395,8214,,,,,,,,"once the audience figure out what's being said , the filmmaker's relative passivity will make it tough for them to really care .",0,,,,,,,
1548,,1162,5536,,,,,,,,the film favors the scientific over the spectacular ( visually speaking ) .,0,,,,,,,
1037,,1630,9501,,,,,,,,"the leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer's secondhand material .",0,,,,,,,
1608,,1661,6768,,,,,,,,"elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level .",0,,,,,,,
1096,,1864,8289,,,,,,,,on the right track to something that's creepy and effective . . . it's just going to take more than a man in a bullwinkle costume to get there .,0,,,,,,,
951,,2151,8132,,,,,,,,the central story lacks punch .,0,,,,,,,
1417,,1515,9590,,,,,,,,"[the film's] taste for "" shock humor "" will wear thin on all but those weaned on the comedy of tom green and the farrelly brothers .",0,,,,,,,
1747,,1759,6717,,,,,,,,"amidst the action , the script carries arnold ( and the viewers ) into the forbidden zone of sympathizing with terrorist motivations by presenting the "" other side of the story . """,0,,,,,,,
977,,2004,7929,,,,,,,,"the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants' so to be one of us may be the most tuneless tune ever composed .",0,,,,,,,
1000,,1867,8707,,,,,,,,"with more character development this might have been an eerie thriller ; with better payoffs , it could have been a thinking man's monster movie .",0,,,,,,,
1564,,2067,6538,,,,,,,,"large budget notwithstanding , the movie is such a blip on the year's radar screen that it's tempting just to go with it for the ride . but this time , the old mib label stands for milder isn't better .",0,,,,,,,
1107,,1543,7573,,,,,,,,"the thriller side of this movie is falling flat , as the stalker doesn't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",0,,,,,,,
1690,,1670,6133,,,,,,,,the filmmakers lack the nerve . . . to fully exploit the script's potential for sick humor .,0,,,,,,,
1492,,1463,5605,,,,,,,,"silly , loud and goofy .",0,,,,,,,
1698,,2170,7053,,,,,,,,"this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",0,,,,,,,
1749,,1818,8540,,,,,,,,"there's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do joan and philip's repetitive arguments , schemes and treachery .",0,,,,,,,
1695,,2040,8420,,,,,,,,the dark and bittersweet twist feels strange as things turn nasty and tragic during the final third of the film . first-timer john mckay is never able to pull it back on course .,0,,,,,,,
1529,,1777,6505,,,,,,,,the whole film has this sneaky feel to it  as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product .,0,,,,,,,
1752,,1837,5523,,,,,,,,such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show .,0,,,,,,,
972,,1194,5597,,,,,,,,"with a tone as variable as the cinematography , schaeffer's film never settles into the light-footed enchantment the material needs , and the characters' quirks and foibles never jell into charm .",0,,,,,,,
1712,,1926,7563,,,,,,,,"there are touching moments in etoiles , but for the most part this is a dull , dour documentary on what ought to be a joyful or at least fascinating subject .",0,,,,,,,
1345,,1945,7628,,,,,,,,you could nap for an hour and not miss a thing .,0,,,,,,,
1404,,1660,5422,,,,,,,,the code talkers deserved better than a hollow tribute .,0,,,,,,,
1625,,1318,9758,,,,,,,,bravo reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of castro so predominantly charitable it can only be seen as propaganda .,0,,,,,,,
1820,,1577,9513,,,,,,,,the latest vapid actor's exercise to appropriate the structure of arthur schnitzler's reigen .,0,,,,,,,
1721,,1473,7792,,,,,,,,"the fight scenes are fun , but it grows tedious .",0,,,,,,,
1794,,1684,8118,,,,,,,,"there's something deeply creepy about never again , a new arrow in schaeffer's quiver of ineptitudes .",0,,,,,,,
1806,,1266,10643,,,,,,,,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",0,,,,,,,
1777,,2079,8365,,,,,,,,"half of it is composed of snappy patter and pseudo-sophisticated cultural observations , while the remainder . . . would be more at home on a daytime television serial .",0,,,,,,,
1670,,1435,6891,,,,,,,,is an arthritic attempt at directing by callie khouri . i had to look away - this was god awful .,0,,,,,,,
1665,,1479,5566,,,,,,,,the most anti-human big studio picture since 3000 miles to graceland .,0,,,,,,,
1163,,1671,8114,,,,,,,,. . . surprisingly inert for a movie in which the main character travels back and forth between epochs .,0,,,,,,,
1531,,1946,6414,,,,,,,,don't even bother to rent this on video .,0,,,,,,,
1133,,1514,8611,,,,,,,,"much like robin williams , death to smoochy has already reached its expiration date .",0,,,,,,,
1260,,1885,6408,,,,,,,,"despite auteuil's performance , it's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .",0,,,,,,,
1120,,1215,8157,,,,,,,,"while obviously an extremely personal work , it remains inextricably stuck in an emotionally unavailable rut .",0,,,,,,,
1186,,1811,6280,,,,,,,,not one moment in the enterprise didn't make me want to lie down in a dark room with something cool to my brow .,0,,,,,,,
1338,,1955,7477,,,,,,,,arnold's jump from little screen to big will leave frowns on more than a few faces .,0,,,,,,,
1554,,1938,9277,,,,,,,,the film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold .,0,,,,,,,
1332,,1749,7732,,,,,,,,so relentlessly wholesome it made me want to swipe something .,0,,,,,,,
1684,,1887,10289,,,,,,,,"forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .",0,,,,,,,
1545,,1388,6950,,,,,,,,chokes on its own depiction of upper-crust decorum .,0,,,,,,,
1603,,1645,8992,,,,,,,,represents the depths to which the girls-behaving-badly film has fallen .,0,,,,,,,
1411,,1359,7112,,,,,,,,"visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it .",0,,,,,,,
1004,,1989,6690,,,,,,,,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy .,0,,,,,,,
1346,,2033,6469,,,,,,,,"in addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",0,,,,,,,
969,,2084,6783,,,,,,,,"a mess . the screenplay does too much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen .",0,,,,,,,
1236,,2113,9310,,,,,,,,"while this film has an 'a' list cast and some strong supporting players , the tale -- like its central figure , vivi -- is just a little bit hard to love .",0,,,,,,,
1429,,2050,10537,,,,,,,,bearable . barely .,0,,,,,,,
1216,,1675,8166,,,,,,,,the film apparently takes place in a fantasy world where people in hotel hallways recite poetry in voice-over instead of speaking to each other .,0,,,,,,,
1040,,1150,8689,,,,,,,,"a gushy episode of "" m * a * s * h "" only this time from an asian perspective .",0,,,,,,,
1466,,1884,6291,,,,,,,,"not the great american comedy , but if you liked the previous movies in the series , you'll have a good time with this one too .",0,,,,,,,
1285,,1276,10434,,,,,,,,the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,0,,,,,,,
1099,,1432,9344,,,,,,,,"it's a terrible movie in every regard , and utterly painful to watch .",0,,,,,,,
990,,1800,6131,,,,,,,,"the piano teacher , like its title character , is repellantly out of control .",0,,,,,,,
1865,,1935,8405,,,,,,,,"none of this violates the letter of behan's book , but missing is its spirit , its ribald , full-throated humor .",0,,,,,,,
1202,,2020,9198,,,,,,,,"it's dull , spiritless , silly and monotonous : an ultra-loud blast of pointless mayhem , going nowhere fast .",0,,,,,,,
1451,,1948,6342,,,,,,,,"will give many ministers and bible-study groups hours of material to discuss . but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .",0,,,,,,,
1593,,1827,7830,,,,,,,,this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring,0,,,,,,,
1743,,1380,5352,,,,,,,,"on its own , it's not very interesting . as a remake , it's a pale imitation .",0,,,,,,,
1274,,1650,6376,,,,,,,,"it plays like a big-budget , after-school special with a generous cast , who at times lift the material from its well-meaning clunkiness .",0,,,,,,,
1479,,1252,7615,,,,,,,,"sets up a nice concept for its fiftysomething leading ladies , but fails loudly in execution .",0,,,,,,,
1245,,1944,8894,,,,,,,,millions of dollars heaped upon a project of such vast proportions need to reap more rewards than spiffy bluescreen technique and stylish weaponry .,0,,,,,,,
1342,,1619,10308,,,,,,,,. . . hopefully it'll be at the dollar theatres by the time christmas rolls around . wait to see it then .,0,,,,,,,
1805,,1433,9273,,,,,,,,a cockeyed shot all the way .,0,,,,,,,
1181,,1537,8742,,,,,,,,"it could have been something special , but two things drag it down to mediocrity -- director clare peploe's misunderstanding of marivaux's rhythms , and mira sorvino's limitations as a classical actress .",0,,,,,,,
1134,,1203,5804,,,,,,,,the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material .,0,,,,,,,
1255,,1949,6655,,,,,,,,one just waits grimly for the next shock without developing much attachment to the characters .,0,,,,,,,
1092,,1300,10048,,,,,,,,"sheridan is painfully bad , a fourth-rate jim carrey who doesn't understand the difference between dumb fun and just plain dumb .",0,,,,,,,
1385,,2188,10324,,,,,,,,"the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .",0,,,,,,,
1226,,1108,9716,,,,,,,,a somewhat disappointing and meandering saga .,0,,,,,,,
1616,,1223,9316,,,,,,,,"i've seen some bad singer-turned actors , but lil bow wow takes the cake .",0,,,,,,,
1228,,1640,8967,,,,,,,,more of an intriguing curiosity than a gripping thriller .,0,,,,,,,
1117,,1277,10400,,,,,,,,"ultimately , sarah's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .",0,,,,,,,
1772,,1589,9240,,,,,,,,"it's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix's .",0,,,,,,,
1642,,1392,9025,,,,,,,,neither revelatory nor truly edgy--merely crassly flamboyant and comedically labored .,0,,,,,,,
1209,,1557,8432,,,,,,,,what's really sad is to see two academy award winning actresses ( and one academy award winning actor ) succumb to appearing in this junk that's tv sitcom material at best .,0,,,,,,,
1620,,1970,10560,,,,,,,,absolutely ( and unintentionally ) terrifying .,0,,,,,,,
1591,,2021,10379,,,,,,,,marinated in clichés and mawkish dialogue .,0,,,,,,,
1462,,1323,6780,,,,,,,,"a perfect example of rancid , well-intentioned , but shamelessly manipulative movie making .",0,,,,,,,
1746,,1748,5824,,,,,,,,"although the sequel has all the outward elements of the original , the first film's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .",0,,,,,,,
1130,,1913,6975,,,,,,,,oh come on . like you couldn't smell this turkey rotting from miles away .,0,,,,,,,
1890,,2161,8597,,,,,,,,"one big blustery movie where nothing really happens . when it comes out on video , then it's the perfect cure for insomnia .",0,,,,,,,
1626,,2051,9747,,,,,,,,meandering and confusing .,0,,,,,,,
1140,,1519,8223,,,,,,,,"you would be better off investing in the worthy emi recording that serves as the soundtrack , or the home video of the 1992 malfitano-domingo production .",0,,,,,,,
188,,737,292,,,,,,,,"for anyone who remembers the '60s or is interested in one man's response to stroke , ram dass : fierce grace is worth seeking out .",1,,,,,,,
328,,1080,529,,,,,,,,the smartest bonehead comedy of the summer .,1,,,,,,,
689,,269,2298,,,,,,,,"it's funny and human and really pretty damned wonderful , all at once .",1,,,,,,,
852,,257,4442,,,,,,,,really quite funny .,1,,,,,,,
157,,315,385,,,,,,,,"a deceivingly simple film , one that grows in power in retrospect .",1,,,,,,,
675,,1041,358,,,,,,,,"if no one singles out any of these performances as award-worthy , it's only because we would expect nothing less from this bunch .",1,,,,,,,
804,,61,1010,,,,,,,,it took 19 predecessors to get this ?,1,,,,,,,
83,,391,3650,,,,,,,,it's a feel-good movie about which you can actually feel good .,1,,,,,,,
389,,523,1036,,,,,,,,u . s . audiences may find [attal and gainsbourg's] unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .,1,,,,,,,
