,label,expression,dataset,position,id,context,text
907,0,fixed,TroFi_ORIGSPLIT,[47 52],TroFi.o.1334,"But unit trusts -- unmanaged portfolios with a fixed set of securities , often municipal bonds -- have slipped through the regulatory cracks .",But unit trusts -- unmanaged portfolios with a [PET_BOUNDARY]fixed[PET_BOUNDARY]fixed
561,0,dragged,TroFi_ORIGSPLIT,[49 56],TroFi.o.705,"The Finn thought about it , and then reluctantly dragged a bottle of vodka from his coat and kissed it and dropped it over the side .","The Finn thought about it , and then reluctantly [PET_BOUNDARY]dragged[PET_BOUNDARY]dragged"
963,0,flew,TroFi_ORIGSPLIT,[34 38],TroFi.o.1397,"When a triumphant Michael Dukakis flew to Erie from the Democratic National Convention in July , they lined the exit from the airport and Perry Square downtown with signs -- not handmade but professionally printed -- saying `` Dukakis Wants Taxes For Abortion . ''/''",When a triumphant Michael Dukakis [PET_BOUNDARY]flew[PET_BOUNDARY]flew
905,0,riding,TroFi_ORIGSPLIT,[89 95],TroFi.o.2809,"Soon after Mr. McCarthy saw society bandleader Peter Duchin on a train , W declared that riding the subways is `` in . ''/''","Soon after Mr. McCarthy saw society bandleader Peter Duchin on a train , W declared that [PET_BOUNDARY]riding[PET_BOUNDARY]riding"
637,0,flown,TroFi_ORIGSPLIT,[174 179],TroFi.o.1608,"He had heard that on a corner of Nellis Air Force Base nearby , a squadron of Stealth fighters was housed in hangars during the day , out of sight of Soviet satellites , and flown only at night .","He had heard that on a corner of Nellis Air Force Base nearby , a squadron of Stealth fighters was housed in hangars during the day , out of sight of Soviet satellites , and [PET_BOUNDARY]flown[PET_BOUNDARY]flown"
819,0,drinking,TroFi_ORIGSPLIT,[115 123],TroFi.o.804,"Lower-alcohol beer is favored by `` session drinkers '' who spend an entire evening in a pub and are accustomed to drinking English beer which , despite its robust taste , generally is less potent than Australian or U.S. brands .",Lower-alcohol beer is favored by `` session drinkers '' who spend an entire evening in a pub and are accustomed to [PET_BOUNDARY]drinking[PET_BOUNDARY]drinking
296,0,targeted,TroFi_ORIGSPLIT,[25 33],TroFi.o.3531,"Before midnight , it had targeted the National Aeronautics and Space Administration Ames Research Center in California 's Silicon Valley , as well as the University of Pittsburgh and the Los Alamos National Laboratory in New Mexico .","Before midnight , it had [PET_BOUNDARY]targeted[PET_BOUNDARY]targeted"
307,0,lent,TroFi_ORIGSPLIT,[116 120],TroFi.o.2165,"The company had a $ 14.24 billion working capital surplus at year end , but $ 13.98 billion of that came from money lent by GMAC to the parent , which took over financing of wholesale sales to dealers .","The company had a $ 14.24 billion working capital surplus at year end , but $ 13.98 billion of that came from money [PET_BOUNDARY]lent[PET_BOUNDARY]lent"
167,0,flew,TroFi_ORIGSPLIT,[35 39],TroFi.o.1392,"Secretary of State Shultz recently flew to Geneva , for example , to `` resolve ambiguities '' over INF verification .",Secretary of State Shultz recently [PET_BOUNDARY]flew[PET_BOUNDARY]flew
1622,0,killing,TroFi_ORIGSPLIT,[53 60],TroFi.o.1956,"A bomb exploded in India 's northern Haryana state , killing at least 15 people and wounding about 25 others .","A bomb exploded in India 's northern Haryana state , [PET_BOUNDARY]killing[PET_BOUNDARY]killing"
812,0,die,TroFi_ORIGSPLIT,[179 182],TroFi.o.548,"Mr. Mulheren rescued the child from the bottom of the pool and , according to a friend , stood shaking the child as tears streamed down his face , crying , `` Do n't die , do n't die . ''/''","Mr. Mulheren rescued the child from the bottom of the pool and , according to a friend , stood shaking the child as tears streamed down his face , crying , `` Do n't die , do n't [PET_BOUNDARY]die[PET_BOUNDARY]die"
1325,0,escape,TroFi_ORIGSPLIT,[130 136],TroFi.o.923,"But war-torn Nicaragua today is freer than under Mr. Ortega 's predecessors , the Somozas , who managed in their 43-year reign to escape both a U.S.-sponsored invasion and your denunciations .","But war-torn Nicaragua today is freer than under Mr. Ortega 's predecessors , the Somozas , who managed in their 43-year reign to [PET_BOUNDARY]escape[PET_BOUNDARY]escape"
34,0,eat,TroFi_ORIGSPLIT,[27 30],TroFi.o.839,Bachelor 's diet: You only eat half of everything you cook -- because the other half sticks to the bottom of the pan .,Bachelor 's diet: You only [PET_BOUNDARY]eat[PET_BOUNDARY]eat
825,0,missing,TroFi_ORIGSPLIT,[87 94],TroFi.o.2318,"In 15 years , Ms. Tsemel says , `` I can count my wins on one hand -- with two fingers missing . ''/''","In 15 years , Ms. Tsemel says , `` I can count my wins on one hand -- with two fingers [PET_BOUNDARY]missing[PET_BOUNDARY]missing"
1400,0,stepped,TroFi_ORIGSPLIT,[55 62],TroFi.o.3122,Evidence in the New Jersey trial showed the driver had stepped on both pedals .,Evidence in the New Jersey trial showed the driver had [PET_BOUNDARY]stepped[PET_BOUNDARY]stepped
1584,0,flourish,TroFi_ORIGSPLIT,[104 112],TroFi.o.1494,"The reservoir , used mostly for agriculture , is the source of the artesian wells that allowed oases to flourish along the coast for hundreds of years .","The reservoir , used mostly for agriculture , is the source of the artesian wells that allowed oases to [PET_BOUNDARY]flourish[PET_BOUNDARY]flourish"
903,0,kill,TroFi_ORIGSPLIT,[86 90],TroFi.o.1868,"Rather , emphasis should be placed on sophisticated incapacitating agents that do not kill or maim but simply render people unconscious or unable to act .","Rather , emphasis should be placed on sophisticated incapacitating agents that do not [PET_BOUNDARY]kill[PET_BOUNDARY]kill"
247,0,fixed,TroFi_ORIGSPLIT,[86 91],TroFi.o.1335,"Compact disk players are comparatively simple , mostly a motor to spin the disk and a fixed laser to read it .","Compact disk players are comparatively simple , mostly a motor to spin the disk and a [PET_BOUNDARY]fixed[PET_BOUNDARY]fixed"
89,0,pumped,TroFi_ORIGSPLIT,[142 148],TroFi.o.2614,"The solvent , methyl tert-butyl ether , has been known for some time to dissolve gallstones but has n't been widely used because it had to be pumped into the gallbladder by a hand syringe for several hours while the patient was under general anesthesia .","The solvent , methyl tert-butyl ether , has been known for some time to dissolve gallstones but has n't been widely used because it had to be [PET_BOUNDARY]pumped[PET_BOUNDARY]pumped"
1755,0,strike,TroFi_ORIGSPLIT,[31 37],TroFi.o.3294,"Union locals were preparing to strike , citing health and safety grievances at about nine plants , including Chrysler 's Sterling Heights , Mich . , stamping plant .",Union locals were preparing to [PET_BOUNDARY]strike[PET_BOUNDARY]strike
886,0,miss,TroFi_ORIGSPLIT,[105 109],TroFi.o.2233,Part of the drop was attributed to the lessening severity of Hurricane Gilbert and expectations it would miss major U.S. oil facilities .,Part of the drop was attributed to the lessening severity of Hurricane Gilbert and expectations it would [PET_BOUNDARY]miss[PET_BOUNDARY]miss
741,0,pouring,TroFi_ORIGSPLIT,[29 36],TroFi.o.2567,"`` As long as the rains come pouring down on our land , we have hope . ''/''",`` As long as the rains come [PET_BOUNDARY]pouring[PET_BOUNDARY]pouring
317,0,filling,TroFi_ORIGSPLIT,[128 135],TroFi.o.1276,"Now , in a suit filed in State Supreme Court in Manhattan , Claiborne alleges that Avon failed to keep an agreement to continue filling orders for the former venture , which had 1987 sales of about $ 27 million .","Now , in a suit filed in State Supreme Court in Manhattan , Claiborne alleges that Avon failed to keep an agreement to continue [PET_BOUNDARY]filling[PET_BOUNDARY]filling"
1064,0,filled,TroFi_ORIGSPLIT,[34 40],TroFi.o.1253,"The three board positions will be filled by Michael Tun Zan , executive vice president of Pacific Bank ; Khateeb Lateef , an investment adviser ; and Theodore M. Bell , an attorney .",The three board positions will be [PET_BOUNDARY]filled[PET_BOUNDARY]filled
462,0,rolled,TroFi_ORIGSPLIT,[56 62],TroFi.o.2905,"This was obvious in the professional manner in which he rolled across the stadium floor after firing on his target , hoping to avoid being shot by Mr. Ozal 's bodyguards .",This was obvious in the professional manner in which he [PET_BOUNDARY]rolled[PET_BOUNDARY]rolled
1036,0,miss,TroFi_ORIGSPLIT,[5 9],TroFi.o.2246,"`` I miss my camp , my camels , my cheese , '' he says wistfully .",`` I [PET_BOUNDARY]miss[PET_BOUNDARY]miss
1577,0,danced,TroFi_ORIGSPLIT,[16 22],TroFi.o.379,Khopa and Ticha danced and juggled soccer balls at a Radio City Music Hall press preview announcing an upcoming tour of the Moscow circus .,Khopa and Ticha [PET_BOUNDARY]danced[PET_BOUNDARY]danced
470,0,escaped,TroFi_ORIGSPLIT,[63 70],TroFi.o.983,"Two young women in the front seat were n't wearing belts , but escaped without permanent injuries .","Two young women in the front seat were n't wearing belts , but [PET_BOUNDARY]escaped[PET_BOUNDARY]escaped"
394,0,eat,TroFi_ORIGSPLIT,[ 9 12],TroFi.o.858,Russians eat awful sausage by the ton .,Russians [PET_BOUNDARY]eat[PET_BOUNDARY]eat
1279,0,stick,TroFi_ORIGSPLIT,[43 48],TroFi.o.3210,"Such probes , which are pieces of DNA that stick to the DNA in a sample , have provided crucial evidence in more than a dozen murder and rape cases during the past year and are increasingly used in paternity testing .","Such probes , which are pieces of DNA that [PET_BOUNDARY]stick[PET_BOUNDARY]stick"
318,0,stumbles,TroFi_ORIGSPLIT,[17 25],TroFi.o.3499,"Every morning he stumbles into work still a wreck from the drugs and booze of the night before , clearly contemptuous of the drudgery set before him .",Every morning he [PET_BOUNDARY]stumbles[PET_BOUNDARY]stumbles
688,0,flew,TroFi_ORIGSPLIT,[130 134],TroFi.o.1380,"During 1987 , America West added 2 , 900 employees , boosted its fleet of aircraft to 69 from 46 and added 11 cities to the 34 it flew to in 1986 .","During 1987 , America West added 2 , 900 employees , boosted its fleet of aircraft to 69 from 46 and added 11 cities to the 34 it [PET_BOUNDARY]flew[PET_BOUNDARY]flew"
1879,0,smooth,TroFi_ORIGSPLIT,[56 62],TroFi.o.3023,"But however microscopically small the particle size and smooth the consistency , this product is still 100 % egg white or milk protein .",But however microscopically small the particle size and [PET_BOUNDARY]smooth[PET_BOUNDARY]smooth
477,0,sleeping,TroFi_ORIGSPLIT,[59 67],TroFi.o.2983,"As a child , the 28-year-old Mr. Hellman spent three years sleeping in an underground bunker as rockets screamed overhead .","As a child , the 28-year-old Mr. Hellman spent three years [PET_BOUNDARY]sleeping[PET_BOUNDARY]sleeping"
947,0,fly,TroFi_ORIGSPLIT,[ 7 10],TroFi.o.1638,"Chairs fly , Geraldo is bloodied , the governor is yelling `` outta my face , Noriega-breath ! `` while the vice president screams `` Read my lips , liberal man ! `` -RRB-/-RRB-",Chairs [PET_BOUNDARY]fly[PET_BOUNDARY]fly
1612,0,killed,TroFi_ORIGSPLIT,[147 153],TroFi.o.1915,Officials in West Germany prepared for today 's start of a trial of a Shiite Moslem for the 1985 hijacking of a TWA jet in which a U.S. sailor was killed .,Officials in West Germany prepared for today 's start of a trial of a Shiite Moslem for the 1985 hijacking of a TWA jet in which a U.S. sailor was [PET_BOUNDARY]killed[PET_BOUNDARY]killed
440,0,roll,TroFi_ORIGSPLIT,[178 182],TroFi.o.2848,"For only $ 4.95 , it advises me to wrinkle up my nose , pucker my lips , grit my teeth -LRB- but not too tightly -RRB- , smile for a while , open my mouth wide , drop my jaw and roll my eyes around to relax .","For only $ 4.95 , it advises me to wrinkle up my nose , pucker my lips , grit my teeth -LRB- but not too tightly -RRB- , smile for a while , open my mouth wide , drop my jaw and [PET_BOUNDARY]roll[PET_BOUNDARY]roll"
418,0,drank,TroFi_ORIGSPLIT,[32 37],TroFi.o.740,"Here his father , a shoemaker , drank vodka , and here his mother nourished her son 's ambitions .","Here his father , a shoemaker , [PET_BOUNDARY]drank[PET_BOUNDARY]drank"
1634,0,drinking,TroFi_ORIGSPLIT,[149 157],TroFi.o.813,"When sentencing a criminal , the chief justice of the country 's Supreme Court takes into consideration whether the felon has atoned for his sins by drinking sakau with the victim 's family .","When sentencing a criminal , the chief justice of the country 's Supreme Court takes into consideration whether the felon has atoned for his sins by [PET_BOUNDARY]drinking[PET_BOUNDARY]drinking"
868,0,drink,TroFi_ORIGSPLIT,[135 140],TroFi.o.759,"And true to German tradition , the club has its own Stammtisch , a table at a local beer hall where club members gather once a week to drink and gab .","And true to German tradition , the club has its own Stammtisch , a table at a local beer hall where club members gather once a week to [PET_BOUNDARY]drink[PET_BOUNDARY]drink"
409,0,flying,TroFi_ORIGSPLIT,[169 175],TroFi.o.1702,"Under a temporary restraining order entered early this month , Judge Parker barred Eastern from eliminating the jobs , but specifically permitted the company to cut its flying .","Under a temporary restraining order entered early this month , Judge Parker barred Eastern from eliminating the jobs , but specifically permitted the company to cut its [PET_BOUNDARY]flying[PET_BOUNDARY]flying"
919,0,ride,TroFi_ORIGSPLIT,[5 9],TroFi.o.2776,They ride from their homes in Beverly Hills to the coast on weekends .,They [PET_BOUNDARY]ride[PET_BOUNDARY]ride
408,0,melting,TroFi_ORIGSPLIT,[31 38],TroFi.o.2201,"Great ; when they 've finished melting , we 'll all have stew .",Great ; when they 've finished [PET_BOUNDARY]melting[PET_BOUNDARY]melting
1007,0,attack,TroFi_ORIGSPLIT,[193 199],TroFi.o.121,"As the recent Ikle-Wohlstetter report , `` Discriminate Deterrence '' -LRB- the source of the nearby maps -RRB- , to President Reagan makes clear , it 's far more likely that the Soviets would attack first on the more vulnerable fringes of the alliance , perhaps in the Persian Gulf or Norway .","As the recent Ikle-Wohlstetter report , `` Discriminate Deterrence '' -LRB- the source of the nearby maps -RRB- , to President Reagan makes clear , it 's far more likely that the Soviets would [PET_BOUNDARY]attack[PET_BOUNDARY]attack"
1363,0,escaped,TroFi_ORIGSPLIT,[106 113],TroFi.o.961,"But in talking with the FBI agent , the man not only denied he 'd killed anyone , he said that he had n't escaped from prison , that the warden had simply told him to leave one day after more than 20 years behind bars .","But in talking with the FBI agent , the man not only denied he 'd killed anyone , he said that he had n't [PET_BOUNDARY]escaped[PET_BOUNDARY]escaped"
127,0,sleep,TroFi_ORIGSPLIT,[28 33],TroFi.o.2964,"She lost weight , could n't sleep , and did n't work again for six months .","She lost weight , could n't [PET_BOUNDARY]sleep[PET_BOUNDARY]sleep"
1745,0,filled,TroFi_ORIGSPLIT,[82 88],TroFi.o.1241,"The NWA Inc. unit 's load factor for the month , or percentage of available seats filled , dropped to 64.6 % from 65.8 % .","The NWA Inc. unit 's load factor for the month , or percentage of available seats [PET_BOUNDARY]filled[PET_BOUNDARY]filled"
369,0,flying,TroFi_ORIGSPLIT,[58 64],TroFi.o.1693,Sunworld had recently been operating as a charter airline flying 120 flights a month .,Sunworld had recently been operating as a charter airline [PET_BOUNDARY]flying[PET_BOUNDARY]flying
1640,0,eating,TroFi_ORIGSPLIT,[25 31],TroFi.o.901,"`` Who said , 'No one 's eating any ' ? '' he snapped .","`` Who said , 'No one 's [PET_BOUNDARY]eating[PET_BOUNDARY]eating"
1422,0,misses,TroFi_ORIGSPLIT,[38 44],TroFi.o.2307,"Thus , the conventional antibody test misses an unknown segment of AIDS-infected people .","Thus , the conventional antibody test [PET_BOUNDARY]misses[PET_BOUNDARY]misses"
1187,0,besieging,TroFi_ORIGSPLIT,[18 27],TroFi.o.271,"In 1347 , Mongols besieging the Black Sea port of Caffa began to sicken and die from the plague .","In 1347 , Mongols [PET_BOUNDARY]besieging[PET_BOUNDARY]besieging"
345,0,killed,TroFi_ORIGSPLIT,[ 94 100],TroFi.o.1908,"Last month , Thiokol said it settled the last suit with the estates of the seven crew members killed in the Challenger .","Last month , Thiokol said it settled the last suit with the estates of the seven crew members [PET_BOUNDARY]killed[PET_BOUNDARY]killed"
982,0,attack,TroFi_ORIGSPLIT,[147 153],TroFi.o.138,"Prince Norodom Sihanouk , the former Cambodian leader , said this week he was withdrawing from the resistance because the Khmer Rouge continues to attack his forces along the Thai-Cambodia border .","Prince Norodom Sihanouk , the former Cambodian leader , said this week he was withdrawing from the resistance because the Khmer Rouge continues to [PET_BOUNDARY]attack[PET_BOUNDARY]attack"
1241,0,filling,TroFi_ORIGSPLIT,[76 83],TroFi.o.1264,"Fern C. Portnoy was named to the board of this membership warehouse chain , filling a vacancy .","Fern C. Portnoy was named to the board of this membership warehouse chain , [PET_BOUNDARY]filling[PET_BOUNDARY]filling"
1044,0,drink,TroFi_ORIGSPLIT,[11 16],TroFi.o.789,You should drink a full eight ounces of water with your tablets .,You should [PET_BOUNDARY]drink[PET_BOUNDARY]drink
1171,0,roll,TroFi_ORIGSPLIT,[18 22],TroFi.o.2867,"Still , the buses roll on .","Still , the buses [PET_BOUNDARY]roll[PET_BOUNDARY]roll"
1694,0,knocked,TroFi_ORIGSPLIT,[ 8 15],TroFi.o.2021,"The hug knocked off Spinks 's hat , a broad-brimmed , white number .",The hug [PET_BOUNDARY]knocked[PET_BOUNDARY]knocked
857,0,examining,TroFi_ORIGSPLIT,[37 46],TroFi.o.1159,"One of the contracts prosecutors are examining -- the development job for the Navy 's carrier-based advanced tactical aircraft -- was subject to a `` best and final offer , '' known as a BAFO , and then a `` best and revised final offer , '' known as a BARFO. Investigators are looking at whether Melvyn Paisley improperly steered the multibillion-dollar job to McDonnell Douglas Corp. and General Dynamics Corp. while he was assistant Navy secretary .",One of the contracts prosecutors are [PET_BOUNDARY]examining[PET_BOUNDARY]examining
1730,0,flying,TroFi_ORIGSPLIT,[50 56],TroFi.o.1703,"Unfortunately , `` Phantasm II '' also concerns a flying metal ball with speed-drill attachments , which affixes itself to one 's forehead and then drains the brain .","Unfortunately , `` Phantasm II '' also concerns a [PET_BOUNDARY]flying[PET_BOUNDARY]flying"
201,0,plant,TroFi_ORIGSPLIT,[90 95],TroFi.o.2348,"Because of sharp drops in grain stockpiles , the department is likely to allow farmers to plant more acreage next year .","Because of sharp drops in grain stockpiles , the department is likely to allow farmers to [PET_BOUNDARY]plant[PET_BOUNDARY]plant"
1337,0,strike,TroFi_ORIGSPLIT,[103 109],TroFi.o.3270,"In short , a completely effective SDI would give the Soviets what they do not now have: the ability to strike the U.S. without fear of retaliation .","In short , a completely effective SDI would give the Soviets what they do not now have: the ability to [PET_BOUNDARY]strike[PET_BOUNDARY]strike"
1565,0,fly,TroFi_ORIGSPLIT,[65 68],TroFi.o.1647,It said the U.S. is prepared to rule out other routes that would fly over land in the U.S. or Canada `` except in the case of aircraft emergency . ''/'',It said the U.S. is prepared to rule out other routes that would [PET_BOUNDARY]fly[PET_BOUNDARY]fly
659,0,stumbles,TroFi_ORIGSPLIT,[ 3 11],TroFi.o.3500,"He stumbles home in the middle of yet another rainy , drugged night and tries to kill himself by guzzling iodine .",He [PET_BOUNDARY]stumbles[PET_BOUNDARY]stumbles
841,0,attack,TroFi_ORIGSPLIT,[159 165],TroFi.o.122,"But Iran 's positions , overrun in last Saturday 's attack on Majnoon , were just a few thin lines of hillocks ; the fortifications of an army that expects to attack rather than defend .","But Iran 's positions , overrun in last Saturday 's attack on Majnoon , were just a few thin lines of hillocks ; the fortifications of an army that expects to [PET_BOUNDARY]attack[PET_BOUNDARY]attack"
911,0,escaped,TroFi_ORIGSPLIT,[24 31],TroFi.o.966,"Less than 0.01 millirem escaped into the atmosphere through a facility 's stack , and workers were n't evacuated , a statement from Savannah River said .",Less than 0.01 millirem [PET_BOUNDARY]escaped[PET_BOUNDARY]escaped
1624,0,stumbled,TroFi_ORIGSPLIT,[28 36],TroFi.o.3465,"By the time `` Trovatore '' stumbled in for the last time two weeks ago , only the Heimlich maneuver could have helped Franco Bonanome get through `` Di quella pira '' ; an old buzz saw , Fiorenza Cossotto , was rasping away at the gypsy 's music ; and Leona Mitchell drifted from pillar to pillar and all too often from the score .",By the time `` Trovatore '' [PET_BOUNDARY]stumbled[PET_BOUNDARY]stumbled
1772,0,rolled,TroFi_ORIGSPLIT,[20 26],TroFi.o.2893,"If the Russians had rolled over West Germany last week , it might have made Messrs .",If the Russians had [PET_BOUNDARY]rolled[PET_BOUNDARY]rolled
520,0,melted,TroFi_ORIGSPLIT,[78 84],TroFi.o.2192,The reasoning was that containers composed of more than one plastic ca n't be melted down and remade into the same types of containers .,The reasoning was that containers composed of more than one plastic ca n't be [PET_BOUNDARY]melted[PET_BOUNDARY]melted
1291,0,drink,TroFi_ORIGSPLIT,[274 279],TroFi.o.778,"Stealthies like Capt. Marvel , Bill Sweetman , John Andrews and Sam Jones are , nevertheless , a patriotic lot who aim to get as close as possible without breaching national security in pursuit of their passion . -LRB- They are aware that the most fanatic Stealth followers drink their vodka straight. -RRB-/-RRB-","Stealthies like Capt. Marvel , Bill Sweetman , John Andrews and Sam Jones are , nevertheless , a patriotic lot who aim to get as close as possible without breaching national security in pursuit of their passion . -LRB- They are aware that the most fanatic Stealth followers [PET_BOUNDARY]drink[PET_BOUNDARY]drink"
1426,0,flew,TroFi_ORIGSPLIT,[64 68],TroFi.o.1382,"For the first seven months of 1988 , the small regional carrier flew 3.94 billion revenue passenger miles , up 30 % from 3.03 billion a year earlier .","For the first seven months of 1988 , the small regional carrier [PET_BOUNDARY]flew[PET_BOUNDARY]flew"
558,0,kill,TroFi_ORIGSPLIT,[47 51],TroFi.o.1875,"`` It does n't take a lot of sophistication to kill a lot of people in the middle of New York City , '' said one official .",`` It does n't take a lot of sophistication to [PET_BOUNDARY]kill[PET_BOUNDARY]kill
1101,0,killing,TroFi_ORIGSPLIT,[80 87],TroFi.o.1971,"They appear in the internecine killing between different mafia groups , and the killing of judges , journalists , police and government leaders opposed to the drug traffic .","They appear in the internecine killing between different mafia groups , and the [PET_BOUNDARY]killing[PET_BOUNDARY]killing"
1042,0,strike,TroFi_ORIGSPLIT,[176 182],TroFi.o.3280,"President Reagan issued a list of 107 examples of `` wasteful '' spending approved by Congress last December , but backed away from his earlier vow to formally ask Congress to strike them from the fiscal 1988 budget .","President Reagan issued a list of 107 examples of `` wasteful '' spending approved by Congress last December , but backed away from his earlier vow to formally ask Congress to [PET_BOUNDARY]strike[PET_BOUNDARY]strike"
1741,0,dance,TroFi_ORIGSPLIT,[62 67],TroFi.o.367,"When they 're not in front of the camera , the Toons sing and dance at their version of Harlem 's Cotton Club .","When they 're not in front of the camera , the Toons sing and [PET_BOUNDARY]dance[PET_BOUNDARY]dance"
878,0,planted,TroFi_ORIGSPLIT,[121 128],TroFi.o.2410,"Thus , such basic camouflage measures as false runways made of painted plastic strips , dummy buildings and planes , sod planted on concrete buildings , reforestation and the like could lead him to drop his bombs in the wrong place .","Thus , such basic camouflage measures as false runways made of painted plastic strips , dummy buildings and planes , sod [PET_BOUNDARY]planted[PET_BOUNDARY]planted"
788,0,touch,TroFi_ORIGSPLIT,[33 38],TroFi.o.3609,"A player could n't let the knees touch the ground , for two reasons -- one a matter of protocol , the other practical .",A player could n't let the knees [PET_BOUNDARY]touch[PET_BOUNDARY]touch
220,0,flying,TroFi_ORIGSPLIT,[212 218],TroFi.o.1670,"As usual , Ms. Larsen strove to avoid the obvious by focusing on her emotional response rather than the natural phenomenon itself: `` I want to give the listener not the sound of a bird as much as the feeling of flying . ''/''","As usual , Ms. Larsen strove to avoid the obvious by focusing on her emotional response rather than the natural phenomenon itself: `` I want to give the listener not the sound of a bird as much as the feeling of [PET_BOUNDARY]flying[PET_BOUNDARY]flying"
1292,0,flying,TroFi_ORIGSPLIT,[111 117],TroFi.o.1676,"Eastern 's cutbacks have benefited Continental in other ways , the affidavit claims: Roughly 4 % of Eastern 's flying capacity competes with Continental , it says , compared with 9.3 % in January 1987 .","Eastern 's cutbacks have benefited Continental in other ways , the affidavit claims: Roughly 4 % of Eastern 's [PET_BOUNDARY]flying[PET_BOUNDARY]flying"
1893,0,touching,TroFi_ORIGSPLIT,[267 275],TroFi.o.3691,"When realistic paintings such as these were first viewed , by an educated class surfeited with romanticism and an upcoming middle class newly exposed to museums , they caused such commotion that for the first time in history police were necessary to keep people from touching the pictures .","When realistic paintings such as these were first viewed , by an educated class surfeited with romanticism and an upcoming middle class newly exposed to museums , they caused such commotion that for the first time in history police were necessary to keep people from [PET_BOUNDARY]touching[PET_BOUNDARY]touching"
1784,0,missing,TroFi_ORIGSPLIT,[69 76],TroFi.o.2321,"It also said that 35 , 478 troops were wounded and that 311 remained missing in the Soviet Union 's battle with anti-Kabul Moslem insurgents .","It also said that 35 , 478 troops were wounded and that 311 remained [PET_BOUNDARY]missing[PET_BOUNDARY]missing"
1193,0,assaulting,TroFi_ORIGSPLIT,[105 115],TroFi.o.105,"Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly assaulting a deputy U.S. marshal who tried to seize Sasson records last year at the posh $ 5.5 million Manhattan townhouse where Mr. Guez once resided .","Mr. Guez , of Old Westbury , N.Y . , also is currently under indictment and awaiting trial for allegedly [PET_BOUNDARY]assaulting[PET_BOUNDARY]assaulting"
1175,0,lending,TroFi_ORIGSPLIT,[33 40],TroFi.o.2113,"Federal law prohibits banks from lending to federal campaigns except `` on a basis which assures repayment , '' wording which at least some FEC commissioners interpret as requiring a firm pledge of existing collateral .",Federal law prohibits banks from [PET_BOUNDARY]lending[PET_BOUNDARY]lending
624,0,killed,TroFi_ORIGSPLIT,[129 135],TroFi.o.1950,Wind shear has contributed to at least five major airline accidents in the past 15 years in which more than 500 people have been killed .,Wind shear has contributed to at least five major airline accidents in the past 15 years in which more than 500 people have been [PET_BOUNDARY]killed[PET_BOUNDARY]killed
1400,0,fly,TroFi_ORIGSPLIT,[48 51],TroFi.o.1657,"The other two aircraft will seat 150 people and fly 7 , 200 miles .",The other two aircraft will seat 150 people and [PET_BOUNDARY]fly[PET_BOUNDARY]fly
769,0,killed,TroFi_ORIGSPLIT,[70 76],TroFi.o.1926,The U.N. said the fatalities brought to 48 the number of Palestinians killed since the wave of anti-Israeli unrest began in the occupied areas Dec. 8 .,The U.N. said the fatalities brought to 48 the number of Palestinians [PET_BOUNDARY]killed[PET_BOUNDARY]killed
777,0,fix,TroFi_ORIGSPLIT,[33 36],TroFi.o.1324,"`` If it is n't working , we 'll fix it , '' says Mr. Teets , promising further restructuring if the dog is n't running right in the next few years .","`` If it is n't working , we 'll [PET_BOUNDARY]fix[PET_BOUNDARY]fix"
1800,0,stepping,TroFi_ORIGSPLIT,[91 99],TroFi.o.3160,"After his third cup of tea , Abideen reluctantly rises to go , readjusting his veil before stepping from the hut .","After his third cup of tea , Abideen reluctantly rises to go , readjusting his veil before [PET_BOUNDARY]stepping[PET_BOUNDARY]stepping"
1049,0,destroyed,TroFi_ORIGSPLIT,[47 56],TroFi.o.463,"Furthermore , records that were supposed to be destroyed sometimes are n't , and they , too , occasionally surface .","Furthermore , records that were supposed to be [PET_BOUNDARY]destroyed[PET_BOUNDARY]destroyed"
192,0,rest,TroFi_ORIGSPLIT,[132 136],TroFi.o.2706,"Efforts to improve on-board bedding are aimed not at passengers but at pilots and cabin staff , who are supposed to get a chance to rest after working a certain number of hours .","Efforts to improve on-board bedding are aimed not at passengers but at pilots and cabin staff , who are supposed to get a chance to [PET_BOUNDARY]rest[PET_BOUNDARY]rest"
515,0,dissolve,TroFi_ORIGSPLIT,[60 68],TroFi.o.601,Previously reported experiments show that the drugs quickly dissolve the blood clot that initially blocked one of the heart 's vital coronary arteries causing the heart attack .,Previously reported experiments show that the drugs quickly [PET_BOUNDARY]dissolve[PET_BOUNDARY]dissolve
1281,0,rested,TroFi_ORIGSPLIT,[27 33],TroFi.o.2731,"Look who else is ready and rested over at the Orpheum Theater: Populist Huey Long , assassinated 53 years ago , but livelier than most redfish in this revisionist play , `` The Kingfish , '' about a rustic some called a born leader and others a sleazeball .",Look who else is ready and [PET_BOUNDARY]rested[PET_BOUNDARY]rested
458,0,attacking,TroFi_ORIGSPLIT,[89 98],TroFi.o.218,"From the 14th century to Corregidor in 1942 , such forts had to be taken by storm before attacking ships could pass .","From the 14th century to Corregidor in 1942 , such forts had to be taken by storm before [PET_BOUNDARY]attacking[PET_BOUNDARY]attacking"
